Прямой обмен товарами без денежных расчётов?; бартер
(перен.) Корыстолюбие.; алчность
(перен.) Страстное желание чего-либо, стремление к чему-либо; алчность
(перен.) Сочетание, соединение чего-либо разнородного.; амальгама
(перен. устар.) Вкусная, изысканная пища.; амброзия
(перен.) То, что находится между крайними проявлениями чего-либо; амплитуда
(перен.) Положение, роль в обществе, круг занятий, интересов.; амплуа
(перен.) Что-либо (рельеф местности, строения и т. п.), постепенно возвышающееся в виде полукружия или круга.; амфитеатр
(перен.) Временное снижение активности, прекращение какой-либо деятельности у человека.; анабиоз
(перен.) Внутреннее строение, невидимое устройство чего-либо; анатомия
(перен.) Резкое осуждение кого-либо, чего-либо; анафема
(перен.) Употр. как бранное слово.; анафема
(перен.) Тот, кто живет уединенно, замкнуто.; анахорет
(перен.) Тот, кто является идеалом, воплощением, олицетворением чего-либо положительного.; ангел
(перен.) Тот, кто заботится о другом, опекает слабого, обиженного.; ангел-хранитель
(перен.) Люди с резко отличными, противоположными взглядами, вкусами или чертами характера.; антиподы
(перен. разг.) Перерыв в каком-либо действии, процессе и т. п.; антракт
(перен. разг.) Большой успех, сопровождающий спектакль, концерт и т. п.; аншлаг
(перен.) Высшая точка, предельная степень развития чего-либо; апогей
(перен.) Шут, паяц.; арлекин
(перен. разг.) Спортивное состязание.; баталия
(перен. устар.) Сочинение, предполагаемое авторство которого не подтверждено и маловероятно.; апокриф
(перен.) Последователь, проповедник какого-либо учения, какой-либо идеи.; апостол
(перен.) Примечания, указатели и другие дополнительные материалы к научному труду, собранию сочинений и т. п.; аппарат
(перен. разг.) Короткий шланг в нижней части воздушного шара, аэростата, дирижабля, служащий для наполнения оболочки газом и для выхода его излишков во время полета.; аппендикс
(перен. разг.) Часть строения, представляющая собою ответвление от его центра.; аппендикс
(перен.) Влечение к чему-либо, желание, потребность заниматься чем-либо; аппетит
(перен.) Осторожные, с намеками, недомолвками подходы к разговору.; апроши
Глубокие зигзагообразные рвы, ходы сообщения для подступов к осаждаемому укреплению, крепости и т. п.; апроши
(перен.) Проявление деспотизма, произвола, насилия в какой-либо области общественной жизни.; аракчеевщина
(перен.) Участники научной экспедиции, путешественники.; аргонавты
(перен.) Место, где происходят какие-либо события (обычно драматические).; арена
(перен.) Поприще, сфера деятельности.; арена
(перен.) Большое количество, большая масса кого-либо, чего-либо; армада
(перен.) Неуловимый, но характерный признак, своеобразие чего-либо; аромат
(перен.) Запас, большое количество чего-либо; арсенал
(перен.) Совокупность средств, приемов, способов и т. п., имеющихся в распоряжении кого-либо, чего-либо; арсенал
(перен. разг.) Группа собравшихся или идущих вместе людей.; артель
(перен.) Важный путь сообщения (обычно водный).; артерия
(перен.) Тот, кто, обладая высоким мастерством в каком-либо деле, виртуозно выполняет свою работу.; артист
(перен. разг.) Тот, кто, искусно притворяясь, скрывает истинные чувства, настроение, отношение к кому-либо, чему-либо; артист
(перен.) Высокое творческое мастерство, виртуозность в каком-либо деле.; артистизм
(перен.) Особое изящество манер, грациозность движений.; артистизм
(перен.) Художник, писатель и т. п., скупо использующий изобразительные средства.; аскет
(перен.) Намеренная скупость в использовании изобразительных средств в искусстве.; аскетизм
(перен. разг.-сниж.) Коварный, хитрый, злой человек.; аспид
(перен.) Решительные действия с целью добиться чего-либо; атака
(перен. разг.) Острый приступ болезни.; атака
(перен.) Призыв прекратить что-либо делать как действие.; атанде
(перен.) Употр. как призыв прекратить какое-либо действие; соответствует по значению сл.: довольно, достаточно, хватит.; атанде
(перен. устар.) Выдающийся, незаурядный в каком-либо отношении человек.; атлет
(перен. разг.) Атомная энергия.; атом
(перен.) Утрата, притупление чувств.; атрофия
(перен.) Призыв извести кого-либо преследованиями, клеветой и т. п.; ату
Команда охотника собаке, соответствующая по значению сл.: бери! лови! хватай!; ату
(перен.) Обстановка, которая создается вокруг кого-либо; аура
(перен.) Тот, кто оказывается последним, отстает в каком-либо деле.; аутсайдер
(перен. разг.) Советские воины, принимавшие участие в военных действиях на территории Афганистана в 1980–1989 гг.; афганцы
(перен.) То, что выставлено напоказ, внешняя, показная сторона чего-либо; афиша
(перен.) Оценка кого-либо, чего-либо как очень привлекательного, необычного.; ах
(перен.) Робкий, нерешительный мужчина, юноша (обычно с оттенком неодобрительности).; баба
(перен. разг.) Недобрая, сварливая женщина.; баба-яга
(перен. разг.) Знания, опыт, имеющиеся у кого-либо; багаж
(перен. разг.) Беспорядочный шум, крик.; базар
(перен. разг.) Неповоротливый, ленивый человек.; байбак
(перен. разг.) Одинокий, не имеющий своей семьи человек.; байбак
(перен.) Подстрекатель, смутьян.; баламут
(перен.) То, чему нельзя поверить; вздор, чепуха.; баланда
(перен.) То, что является лишним, ненужным, обременяющим кого-либо, что-либо; балласт
(перен.) Тот, кто преуспевает в чем-либо, кому сопутствуют удача, успех.; баловень
(перен.) То, что может успокоить, утешить.; бальзам
(перен. устар.) Разговоры, болтовня.; балясы
(перен. разг.-сниж.) Что-либо громоздкое, несоразмерное в частях.; бандура
(перен.) Тот, кто потерпел полную неудачу, крах в осуществлении чего-либо; банкрот
(перен.) Полная неудача, крах в осуществлении чего-либо; банкротство
(перен. разг.) Место, помещение, где очень жарко.; баня
(перен. разг.) Какое-либо событие, протекающее бурно, напряженно, связанное с неприятными последствиями для кого-либо; баня
(перен. разг.-сниж.) Глупый, упрямый человек.; баран
(перен. разг.) Низшая оценка за выступление в соревнованиях (в речи спортсменов); ноль очков, баллов.; баранка
(перен.) Злой, грубый человек.; барбос
(перен. разг.) Избалованный, изнеженный человек, живущий в богатстве и ведущий праздную жизнь.; барин
(перен. разг.) Важный, высокомерный человек.; барин
(перен.) Изнеженный, избалованный человек, живущий в богатстве, ведущий праздный образ жизни.; барич
(перен.) То, что является показателем, мерилом чего-либо; барометр
(перен. разг.) Изнеженность, избалованность, праздность.; барство
(перен. разг.) Высокомерие, спесь, пренебрежительное отношение к людям, занимающим более низкое общественное положение.; барство
(перен.) Избалованный, изнеженный ребенок.; барчонок
(перен.) Мальчик, юноша, пренебрегающий занятиями, не желающий трудиться.; барчук
(перен.) Употр. как категорическое решение окончить, прекратить, завершить что-либо; соответствует по значению сл.: достаточно, довольно, хватит.; баста
(перен.) Надежная опора, защита; оплот.; бастион
(перен. разг.) Неопределенно большое количество кого-либо; батальон
(перен. разг.) Ряд каких-либо однородных предметов.; батарея
(перен.) Неожиданное, внезапное появление, проявление чего-либо как действие.; бах
(перен.) То, что вызывает, порождает какие-либо отрицательные явления.; бацилла
(перен.) Умный, знающий, толковый человек.; башка
(перен. разг.) Нагромождение предметов, в виде высокого строения.; башня
(перен.) Длительное, утомительное времяпрепровождение за каким-либо занятием (обычно с оттенком шутливости или иронии).; бдение
(перен.) Быстрое, плавное движение, перемещение, течение.; бег
(перен.) Хлопоты, связанные с хождением по разным местам, с разъездами.; бегание
(перен. разг.) Кто-либо или что-либо, отличающиеся неуклюжестью, громоздкостью.; бегемот
(перен. разг.) Чей-либо существенный недостаток.; беда
(перен.) Место, где отсутствует тишина, порядок.; бедлам
(перен.) Бессовестный, бесчестный человек.; безбожник
(перен.) Резко выраженные различия, глубокие расхождения, разделяющие кого-либо; бездна
(перен.) разг. Неопределенно большое количество, множество кого-либо, чего-либо; бездна
(устар.) Ад, преисподняя.; бездна
(перен.) Крайне безрассудный человек.; безумец
(перен.) Крайнее безрассудство.; безумие
(перен.) Чрезвычайная сила проявления какого-либо чувства, состояния и т. п.; неистовство.; безумие
(перен.) Незнание неродного языка.; безъязычие
(перен. разг.) Что-либо незначительное, неглубокое по содержанию.; беллетристика
(перен. разг.) Запущенное, убогое жилище.; берлога
(разг.) Любое жилище (обычно с оттенком шутливости).; берлога
(перен.) Злая, вздорная женщина.; бесовка
(перен.) Отсутствие или нарушение упорядоченности, системы, последовательности в чем-либо; беспорядок
(перен. разг.) Ребенок, подросток, лишенный необходимого присмотра, внимания со стороны родителей, взрослых.; беспризорник
(перен. разг.) Тот, кто никому не принадлежит; кто брошен, забыт.; беспризорник
(перен.) Бесполезность.; бессилие
(перен.) Отсутствие силы, мощи, могущества.; бессилие
(перен.) Сохранение значения, воздействия, влияния и т. п. чего-либо в жизни последующих поколений.; бессмертие
Равнодушный к деньгам, богатству, бескорыстный человек.; бессеребреник
Тот, кто не имеет денежных средств (обычно с оттенком шутливости).; бессребреник
(перен.) Бескорыстный человек.; бессребреник
(перен.) То, что утрачено навсегда, невозвратимо, невосполнимо.; безвозвратное
(перен.) Незначительное количество чего-либо; безделица
(перен.) Небольшой по величине, размеру и т. п. изящный предмет, обычно служащий украшением, памятным подарком и т. п.; безделушка.; безделица
(перен.) Равнодушие, безучастность.; бесчувствие
(перен. разг.) История создания произведений литературы, искусства и т. п.; биография
(перен. разг.) Угрюмый, замкнутый, нелюдимый человек.; бирюк
(перен.) Что-либо незначительное, не заслуживающее внимания.; бирюльки
(перен.) Мелкие блестящие капельки чего-либо; бисер
(перен.) Борьба.; битва
Тот, кто, испытав в жизни многое, приобрел собственный опыт.; битый
(перен. разг.) Мужчина крепкого, плотного телосложения (обычно высокого роста).; битюг
(перен.) Обличительная, разящая сила чего-либо; бич
(перен.) То, что является бедствием, приносит неприятности, огорчения.; бич
(перен. разг.) Изобилие каких-либо материальных благ.; благодать
(перен.) Состояние умиротворенности, полного удовлетворения чем-либо; благорастворение
Чистота, свежесть, благоуханность воздуха.; благорастворение
(перен.) Что-либо приятное, привлекательное в восприятии кого-либо; благоухание
(перен.) Тот, кто чудаковат.; блаженный
(перен.) Роскошь, великолепие.; блеск
(перен.) Яркое проявление каких-либо достоинств, способностей и т. п.; блеск
(перен.) Внешний, показной блеск, мишура.; блёстки
(перен.) Отдельные яркие проявления каких-либо достоинств.; блестки
(перен. разг.) Выдумка, ложь с целью запугать кого-либо или внушить кому-либо преувеличенное представление о чем-либо; блеф
(перен. разг.) Кто-либо или что-либо, имеющие сильное сходство между собою.; близнецы
(перен.) Тот, кто недальновиден, непроницателен.; близорукий
(перен.) Недальновидность, непроницательность.; близорукость
(перен.) Отношения, основанные на взаимной симпатии, взаимопонимании, общности интересов.; близость
(перен.) Сходство, подобие.; близость
(перен. разг.) Что-либо, имеющее круглую и плоскую форму.; блин
(перен. разг.) Цепочка кругов на поверхности воды, образующаяся в результате последовательных ударов по ней брошенного по касательной плоского камня.; блинчики
(перен.) Необыкновенная красота, великолепие.; блистание
(перен.) Система мероприятий политического или экономического характера, направленных на нарушение внешних связей какого-либо государства с целью принуждения его к выполнению каких-либо требований другого государства или государств.; блокада
(перен.) Прекращение или расстройство функций какого-либо органа или системы организма, обусловленное нарушением в поступлении к ним каких-либо нервных импульсов, гормонов и т. п. (в медицине).; блокада
(перен.) Тот, кто следит за соблюдением чего-либо; блюститель
(перен.) Незначительный по общественному положению или бездеятельный, нерешительный человек.; бобик
(перен.) Человек могущественный, обладающий властью над другими людьми.; бог
(перен.) Человек необычайной творческой одаренности.; бог
(перен.) Предмет поклонения, восхищения; кумир.; бог
(перен. разг.) Учреждение, в котором много бездеятельных, неспособных людей.; богадельня
(перен. разг.) То, что характеризуется косностью, отсталостью, бездеятельностью.; богадельня
(перен.) Многообразие высоких нравственных качеств.; богатство
(перен.) Незаурядный, выдающийся в какой-либо области человек.; богатырь
(перен.) Красивая, величественная женщина.; богиня
(перен.) Тот, кто борется за что-либо, отстаивает что-либо, выступает против кого-чего-либо; боец
(перен.) Член отряда, группы, организованных для выполнения определенной работы, какого-либо задания и т. п.; боец
(перен.) Кто-либо как предмет восхищения, поклонения, обожания; кумир.; божество
(перен.) Тот, кто обладает большой властью, могуществом.; божок
(перен.) Борьба за что-либо, против чего-либо, отстаивание каких-либо интересов.; бой
(перен. разг.) Бурное обсуждение чего-либо, при котором каждый отстаивает свою позицию; ожесточенный спор.; бой
(перен.) Тот, кто смел, решителен и находчив.; бойкий
(перен.) Неравный кровопролитный бой.; бойня
(перен. разг.-сниж.) Бестолковый, глупый мужчина.; болван
(перен. разг.) Черновой набросок, схема чего-либо; болванка
(перен. разг.-сниж.) Бестолковая, глупая женщина.; болванка
(перен.) Отклонение от нормы в чем-либо; болезнь
(перен.) Среда, обстановка, период времени, характеризующиеся косностью, застоем, отсутствием живой деятельности и инициативы.; болото
(перен.) Сильное душевное страдание.; боль
(перен. разг.) Надменное, высокомерное должностное лицо, чиновник.; бонза
(перен.) Беспорядок, хаос, неразбериха.; бордель
(перен.) Тот, кто борется во имя защиты, осуществления чего-либо (обычно передового, прогрессивного).; борец
(перен. разг.-сниж.) Толстый, неповоротливый человек.; боров
(перен. разг.-сниж.) Подбородок.; борода
(перен.) Круглый нарост на коре деревьев, плодах и т. п.; бородавка
(перен.) Усилия, деятельность, направленные на преодоление, искоренение чего-либо; борьба
(перен.) Взаимодействие противоположных сторон, черт, тенденций, внутренне присущих всем явлениям и процессам природы, общества и мышления, являющееся источником их развития (в философии).; борьба
(перен.) Столкновение противоположных общественных групп, направлений, течений, в котором каждая сторона старается одержать победу.; борьба
(перен.) Столкновение противоречивых чувств, стремлений и т. п.; борьба
(перен.) Бедная женщина, девушка.; босоножка
(перен.) Бедность, нищета.; босота
(перен.) Власть, управление.; бразды
(перен.) Тот, с кем объединяют, сближают общие интересы, условия жизни и т. п.; единомышленник, собрат.; брат
(перен. разг.) Люди, объединенные общим делом, профессией, принадлежащие к одной общественной среде.; братия
(перен.) Убийство человека своей среды, единомышленника, собрата.; братоубийство
(перен. разг.) Тупой, глупый или нечуткий человек.; бревно
(перен. разг.) Состояние увлечения кем-чем-либо до самозабвения.; бред
(перен. разг.) То, что говорится в состоянии сильного увлечения.; бред
(перен. разг.) Что-либо несуразное, бессмысленное, неправдоподобное.; бред
(перен.) Что-либо обременительное, тягостное.; бремя
(перен.) Прорыв в цепи войск, нарушение целостности укреплений, обороны.; брешь
(перен.) Убыток, урон.; брешь
(перен. разг.) Острый, меткий или язвительный язык кого-либо; бритва
(перен. разг.) Тот, кто любит путешествовать.; бродяга
(перен.) Массовое проявление недовольства, волнение.; брожение
(перен. разг.) То, что является защитой от чего-либо, что нельзя разрушить, на что нельзя воздействовать.; броня
(перен.) Панцирь, покрывающий тело некоторых животных.; броня
(перен.) Резкий скачок в развитии чего-либо; бросок
(перен.) Употр. при выражении презрения, отвращения и т. п.; брр
(перен.) Рассеянные лучи света.; брызги
(перен.) Резкое, неожиданное изменение в поведении кого-либо; брык
(перен. разг.) Нижняя сторона основной части корпуса самолета, машины и т. п.; брюхо
(перен.) Невпопад совершенный поступок как действие.; бряк
(перен. разг.-сниж.) Крупный, крепкий мужчина.; бугай
(перен.) Крайне возбужденное состояние.; буйство
(перен.) Нелюдимый, необщительный, угрюмый человек.; бука
(перен. разг.) Внешняя, формальная – в противоположность смысловому содержанию – сторона чего-либо; буква
(перен. разг.) Совокупность чего-либо (обычно отрицательных явлений, свойств и т. п.).; букет
(перен.) То, что составляет характерную черту, особенность чего-либо; букет
(перен.) Путаница, вздор, чепуха.; бурда
(перен.) Явления, события, вызывающие глубокие потрясения в жизни общества.; буря
(перен.) Сильные душевные переживания, волнения.; буря
(перен.) Что-либо обманчивое, рассчитанное на эффект.; бутафория
(перен.) Кто-либо, что-либо, ослабляющее столкновение борющихся, враждебных сторон.; буфер
(перен. устар.) Тот, кто грубо шутит, насмехается над кем-либо; буффон
(перен.) Неуместное, нелепое, грубое шутовство.; буффонада
(перен.) Внезапное, неожиданное действие (обычно падение).; бух
(перен. разг.-сниж.) Люди, покорно подчиняющиеся чьей-либо воле, позволяющие эксплуатировать себя.; быдло
(перен.) Молодая, стройная женщина, девушка.; былинка
(перен.) Молодой упрямый человек.; бычок
(перен.) Должностное лицо, пренебрегающее при исполнении своих обязанностей существом дела ради соблюдения формальностей; формалист.; бюрократ
(перен.) Формализм в ведении дел, пренебрежение существом дела ради соблюдения формальностей; канцелярщина, волокита.; бюрократизм
(перен. разг.) Большое количество, множество чего-либо; вагон
(перен.) Пустота в чем-либо; вакуум
(перен.) Шумное, разгульное пиршество.; вакханалия
(перен.) Движущаяся масса, поток воздуха, дождя, огня и т. п.; вал
(перен.) Масса движущихся людей, животных и т. п.; вал
(перен.) Жестокий человек.; вампир
(перен.) Необразованный, невежественный человек.; вандал
(перен.) Тот, кто разрушает исторические памятники, уничтожает культурные ценности, природные богатства и т. п.; варвар
(перен.) Что-либо, полученное в результате сильного нагревания и находящееся в расплавленном состоянии.; варево
(перен. разг.) Люди, приглашенные со стороны, из другого коллектива, учреждения и т. п. (обычно с оттенком шутливости).; варяги
(перен. разг.) Часть судового экипажа, несущая дежурство, требующее безотлучного нахождения на каком-либо посту (во флоте).; вахта
(перен.) Группа людей, продолжительное время работающая в отдаленном районе в отрыве от постоянного места жительства и сменяемая такой же группой.; вахта
(перен.) Кроткий, незлобивый человек (обычно с оттенком шутливости).; вегетарианец
(перен.) Тот, кто ведет концерт, теле- или радиопередачу, сопровождая их комментариями.; ведущий
(перен. разг.-сниж.) Злая, сварливая или безобразная женщина.; ведьма
(перен. разг.) Кто-либо выдающийся по своему значению, достоинствам и т. п.; гигант мысли.; великан
(перен.) Кто-либо или что-либо, имеющие большое влияние или значение (обычно с оттенком иронии).; величество
(перен.) Кто-либо выдающийся в какой-либо сфере деятельности.; величина
(перен.) Высокомерно-грубое должностное лицо.; вельможа
(перен.) Жестокая месть.; вендетта
(перен.) Царская власть, престол.; венец
(перен.) Венчание, бракосочетание.; венец
(перен.) Высший предел, вершина чего-либо; венец
(перен.) Успешное, достойное окончание, завершение чего-либо; венец
(перен.) Светлый ободок вокруг головы на иконах; нимб, ореол.; венец
(перен. разг.) Плохо составленный, некрасивый букет цветов (обычно с оттенком шутливости или пренебрежения).; веник
(перен.) Ряд явлений, событий, дней и т. п., следующих одно за другим.; вереница
(перен.) То, что тяготит, сковывает свободу действий, чувств и т. п.; вериги
(перен. разг.) Неспокойный, вертлявый человек; непоседа.; вертун
(перен. разг.) Превосходство, преимущество в чем-либо; верх
(перен.) Внешние, поверхностные стороны какого-либо явления, какой-либо области знания и т. п.; верхи
(перен. разг.) Наиболее влиятельная часть общества, организации и т. п.; верхушка
(перен.) Значение, влияние, авторитет.; вес
(перен.) Молодость, расцвет жизни.; весна
(разг.) Родственный народ, племя, язык.; ветвь
(перен.) Линия родства в чьей-либо родословной.; ветвь
(перен.) Что-либо старое, давно существующее, долго используемое.; ветеран
(перен.) Шумное многолюдное собрание (обычно с оттенком иронии).; вече
(перен.) Заключительный этап жизни, старость.; вечер
(перен.) Приближение, признак наступления чего-либо; веяние
(перен.) То новое, что характеризует изменение в умственной жизни, вкусах, настроениях и т. п. общества.; веяние
(перен.) Грубый выговор, нагоняй.; взбучка
(перен.) Всестороннее обдумывание, оценка чего-либо; взвешивание
(перен. разг.) Группа людей, объединенных какой-либо целью, работой и т. п.; взвод
(перен.) Стремительный подъем в развитии науки, искусства и т. п.; взлет
(перен.) Быстрый, скачкообразный переход от старого качества к новому.; взрыв
(перен.) Бурное, внезапное проявление какого-либо чувства.; взрыв
(перен.) Жестокое насилие над кем-либо, чем-либо; вивисекция
(перен.) Неоправданное насильственное изменение естественной формы, живого образа чего-либо; вивисекция
Обратная сторона переда.; зад
(В кино, компьютерных играх, литературе) Критичная информация, которая, будучи преждевременно раскрытой, портит впечатление от игры/книги/фильма.; спойлер
Кто написал музыкальные иллюстрации к повести А. С. Пушкина “Метель”?; Свиридов
Какое прозвище было у царя Алексея Михайловича?; тишайший
Его чтил Остап Бендер.; УК
(разг.-сниж.) Отхожее место; уборная.; сортир
Жить на Земле, возможно, дороговато. Зато вы получаете ежегодный бесплатный ... вокруг Солнца. Эшли Брильянт; круиз
Любитель сладко поесть; лакомка
Слепой землепроходец; крот
“Лишь то хорошо, что полезно” (черта человека, который так считает); прагматизм
Мультимиллиардер, чьей женой так и не стала великая оперная пеивца Мария Каллас.; Онасис
Засуха чувств; апатия
Биологический каркас; скелет
Среди шедевров Эль Греко не последнее место занимает “Вид ...”; Толедо
Испытание соблазном; искус
Товар венгерской фирмы “Икарус”; автобус
“Зелень” бильярдного стола; сукно
Героизм на поле брани; отвага
Какая птица может стать добычей гепарда; страус
Чем пахнет с тяжелого похмелья?; перегар
Ходячее недовольство; ворчун
Пернатый хищник, чей голос напоминает мяуканье; канюк
У какой из европейских наций липовое дерево символизирует процветание?; чехи
Самый ходовой материал для “семейных” трусов; сатин
Школьник в военной форме; кадет
Пылкое усердие в работе; ретивость
Посланец на съезд; делегат
Наездник с ипподрома; жокей
Удвоенное судно; катамаран
29 марта 1848 года Ниагарский ... остановился более чем на 30 часов, потому что на реке образовались ледяные пробки; водопад
Кризис избытка товаров; перепроизводство
Пальто для миллионерши; манто
Догонялки на автомобилях; ралли
“Постоянная” потеря трудоспособности у боксера; нокаут
Самоличное выступление; соло
“Вникнуть в ... дела”; суть
Какое дерево, согласно преданию, “пошло” на крест Спасителя? Потому-то его так боятся вампиры!; осина
“Дума” при патриархе; синод
“Буржуйский пионер”; скаут
Сани на оленьей тяге; нарты
Река, чьи воды сделали Ахиллеса почти неуязвимым; стикс
Еще не отработанные деньги; аванс
Деревня джигита; аул
Решительный результат задачи; ответ
Увертюра утра; рассвет
В каком лесу каждый лист дрожит?; осинник
Планета, названная в честь божественной любовницы; Венера
Лондонский театр, где труппа “Слуги лорда-камергера” ставила шекспировские пьесы; глобус
Огненная пыль; пепел
Клятва, данная себе; зарок
“Утка с бантиком”; индюк
Пробка на шоссе; затор
Кто покидает тонущий корабль последним?; капитан
Тридцать два подобных произведения можно насчитать в творческом наследии Людвига ван Бетховена; соната
Первый европейский ... изобрел немецкий монах Шварц; порох
Увольнение из мест лишения свободы “по собственному желанию”; побег
Шеф факультета; декан
Установлено, что ... пустырника, принимаемый во второй половине дня, помогает улучшить зрение; отвар
Что закрывает глаз?; веко
“Железнодорожный гараж”; депо
Жаргонная замена слову Pentium; пень
И должность, и сообщение на форуме.; пост
Царь Вавилонии в 1792–50 до н. э. Сохранившиеся законы – ценный памятник древневосточного права.; Хаммурапи
Официальный публичный показ фильма, объявляющий о его официальном открытии для широкой аудитории.; премьера
Фильм, повествующий о событиях, которые хронологически имели место до событий, описанных в предыдущем фильме.; приквел
Первый показ фильма в кинотеатре, таким образом снимаются все студийные ограничения на просмотр фильма.; релиз
Фильм, повествующий о событиях, которые хронологически происходят после событий, описанных в предыдущем фильме, и продолжают историю.; сиквел
Информация о фильме, которая, по задумке создателей фильма, не должна раскрываться до определенного момента, иначе удовольствие от кино может быть испорчено.; спойлер
Общий термин, обозначающий напечатанную работу, в которой подробно рассказывается о событиях и диалогах фильма.; сценарий
Короткий трейлер, который обычно выпускается за несколько месяцев до непосредственного выпуска фильма.; тизер
Реклама фильма, содержащая кадры из этого фильма.; трейлер
