Выращивание растений в темноте; этиолирование
Научная дисциплина, изучающая природные воды земного шара и круговорот воды в природе; гидрология
Пресс, в котором для создания давления используется жидкость; гидравлический пресс; гидропресс
Аппарат, состоящий из бака, поршневого насоса и распыливающей насадки, служащей для поливки, опрыскивания, тушения пожаров и т. п.; гидропульт
Гидромонитор большой мощности; гидропушка
Совокупность вод морей, океанов, континентальных водоемов и ледяных покровов Земли; гидросфера
Специалист в области гидрохимии; гидрохимик
Научная дисциплина, изучающая химический состав природных вод и закономерности его изменения; гидрохимия
Система специально подобранных физических упражнений, способствующих общему развитию организма и укреплению здоровья; гимнастика
Повышенное артериальное давление; гипертония
Понижение температуры тела у человека или теплокровного животного; искусственное охлаждение организма или отдельных его частей в лечебных целях; гипотермия
Бегемот; гиппопотам
Компас, в котором роль магнитной стрелки выполняет гироскоп; гирокомпас
Научная дисциплина, изучающая строение, функции и развитие тканей человека и многоклеточных животных; гистология
Гистологическое исследование; гистология
Господствующее, руководящее положение; преобладающее значение, первенство; главенство
Помещение, предназначенное для глаженья; гладильная
Устройство для разминания глины; глиномялка
Вымершее млекопитающее отряда неполнозубых, родственное броненосцу; глиптодонт
Собрание резных камней, произведений скульптуры; музей скульптуры; глиптотека
Прибор для измерения глубин водоемов или глубины погружения подводной лодки, подводного аппарата; глубиномер
Птенец глухаря; глухаренок
Религиозно-мистическое течение I–III вв. в Римской империи; гностицизм
Отряд птиц, имеющих длинные ноги, к которому относятся аисты, цапли, ибисы и т. п.; аистообразные; голенастые
Личинка бесхвостых земноводных (лягушек, жаб); головастик
Фотопластинка, на которой зафиксировано изображение голографическим способом; голограмма
Фотографический метод записи и воспроизведения объемного изображения объекта, основанный на взаимодействии (наложении) двух световых волн; голография
Состояние погоды, когда поверхность земли, деревья, провода и т. п. покрыты плотным слоем льда, образующимся при замерзании на них капель дождя или тумана; гололедица
Слой плотного льда на поверхности земли, образующийся при замерзании на ней переохлажденных капель дождя или тумана; гололедица
Кусты, заросли голубики место, где растет голубика; голубичник
Мясо голубя; голубятина
Метод лечения болезней малыми дозами лекарств, которые в больших дозах вызывают в организме здорового человека явления, сходные с признаками данной болезни; гомеопатия
Раздел богословия, в котором изучаются теоретические и практические вопросы церковной проповеди; гомилетика
Голубика; гонобобель
Должность административно-полицейского начальника уездного города; городничий
Небольшой сосуд с крышкой для горчицы, подаваемый к столу; горчичница
Способность живо и остро воспринимать реагировать на вспыльчивость, неуравновешенность, несдержанность; горячность
Обладание полнотой власти; господство
Глава монархического государства; царица, императрица; государыня
Жена государя; государыня
Государственный экзамен; госэкзамен
Набор чертежных инструментов в специальном футляре; готовальня
Психологическая настроенность; готовность
Желание угодить; услужливость; готовность
Народ койсанской этноязыковой группы, живущий в Намибии и Южно-Африканской Республике; готтентоты
Придворный чин и должность (в Российском государстве XVIII в. – начала XX в.); гофмейстер
Часть грабель – палка, шест, на который насаживается брусок с зубьями; грабельник
Всемирное тяготение; свойство материи, выражающееся во взаимном притяжении тел; гравитация
Уничтожение или повреждение градом посевов, плодовых насаждений и т. п.; градобитие
Записывание музыки, речи и т. п. на особой пленке (первоначально на граммофонной пластинке) для последующего воспроизведения; грамзапись
Система способов словообразования, морфологических категорий и синтаксических конструкций языка; грамматика
Раздел лингвистики, связанный с изучением и описанием законов языка, включающий словообразование, морфологию и синтаксис; грамматика
Специалист в области грамматики; грамматист
Семейство растений, к которому относится гранат; гранатовые
Переносное оружие ближнего боя для стрельбы гранатами; гранатомет
Стальной инструмент для гравирования на металле; гранильник
Исследование почерка с точки зрения отражения в нем свойств характера, способностей и психических состояний пишущего; графология
Пристрастие к писанию, к многословному бесполезному сочинительству; графомания
Семейство ядовитых змей, обитающих в Азии и Америке; гремучие змеи; гремучники
Предприятие, занимающееся переработкой грибов; грибоварня
Старинная шелковая ткань; гроденапль
Вертикальный металлический стержень, соединенный проводом с землей и служащий для предохранения сооружений от прямого попадания молний; молниеотвод; громоотвод
Движение грузов по путям сообщения за определенный период времени; грузопоток
Начальник губернии, высшее должностное лицо губернской администрации (в Российском государстве до 1917 г.); губернатор
Высшее должностное лицо административно-территориальной единицы; губернатор
Машина для равномерного распределения полученных из гудрона вяжущих материалов по полосе дорожного покрытия при строительстве и ремонте дорог; гудронатор
Пристрастие к вкусной еде, изысканным кушаньям; гурманство
Рабочий монетного двора, делающий гурт; гуртильщик
Густой лес; густолесье
Твердое, сходное с каучуком вещество белого или желтовато-коричневого цвета, получаемое из затвердевшего сока некоторых растений и применяемое для изоляции подводных кабелей, изготовления клеящих материалов и т. п.; гуттаперча
Население Дагестана, состоящее из аварцев, кумыков, даргинцев и других народов; дагестанцы
Врожденный недостаток зрения, заключающийся в неспособности глаза различать некоторые цвета (обычно красный и зеленый); дальтонизм
Переносной сосуд, в котором священнослужитель держит запасные святые дары, причастие для причащения больных вне церкви; дароносица
Движимое имущество; движимость
Состояние в браке с кем-либо при наличии прежнего, не расторгнутого законным порядком брака; двоебрачие
Помещение, в котором жил дворник; дворницкая
Военно-служилое сословие, получавшее – в отличие от боярства – за службу землю (на Руси XII–XVIII вв.); дворянство
Высшее привилегированное сословие, состоявшее из помещиков, их потомства и выслужившихся чиновников (в Российском государстве до 1917 г. и в других странах в эпоху феодализма и капитализма); дворянство
Звание дворянина; дворянство
Растения, живущие два года и дающие семена на второй год после посева (капуста, морковь, репа и т. п.); двулетники
Два пальца правой руки (указательный и средний), сложенные для крестного знамения (у старообрядцев); двуперстие
Плод, разделяющийся на две семянки (у зонтичных растений: моркови, тмина и т. п.); двусемянка
Млекопитающее семейства сумчатых, обитающее в Америке; опоссум; двуутробка
Отряд бескрылых насекомых с телом, заканчивающимся парой членистых нитей; двухвостки
Плавучая пристань, закрепленная у берега; дебаркадер
Выгрузка товаров, высадка людей с судна на берег; дебаркация
Период жизни девушки до замужества; девичество
Средство для уничтожения неприятного запаха; дезодорант
Участники дворянского революционно-освободительного движения, завершившегося в декабре 1825 г. восстанием против самодержавия и крепостничества; декабристы
Артист, выступающий с декламацией; декламатор
Официальное, торжественное или программное заявление (от имени правительства, партии, международной организации и т. п.); декларация
Название официального документа, содержащего важные положения или нужные сведения; декларация
Прибор для измерения магнитного склонения (угла между магнитным и географическим меридианами), а также суточных изменений (вариаций) магнитного склонения; деклинатор
Отклонение магнитной стрелки компаса от географического меридиана (в физике); деклинация
Безмоторный летательный аппарат планирующего типа с дельтовидным крылом; дельтаплан
Травянистое растение семейства лютиковых с синими, голубыми или фиолетовыми цветками; живокость, шпорник; дельфиниум
Чрезмерно узкий практицизм, при котором упускается из виду принципиальная, общественно полезная сторона дела; делячество
Установление государственной границы на местности; демаркация
Отграничение омертвевших участков ткани от здоровых (в медицине); демаркация
Научная дисциплина, изучающая население и закономерности его развития в общественно-исторической обусловленности; демография
Политический строй, при котором власть принадлежит народу; народовластие; демократия
Принцип организации коллективной деятельности, при которой обеспечивается равноправное и активное участие в ней всех членов коллектива; демократия
Парк, в котором произрастают различные, в том числе редкие, виды деревьев и кустарников; дендропарк
Уведомление одним государством другого о расторжении заключенного между ними договора, соглашения и т. п. (в международном праве); денонсация
Высылка из государства как мера уголовного или административного наказания; изгнание, переселение; депортация
Установление дефектов изделия, механизма, машины и т. п., оценка их годности; дефектовка
Химические препараты, вызывающие опадание листьев растений и применяемые обычно для ускорения созревания хлопчатника и облегчения его машинной уборки; дефолианты
Удаление листьев с растений путем обработки их химическими препаратами (дефолиантами) для облегчения машинной уборки урожая (в сельском хозяйстве); дефолиация
Изменение размеров, формы твердого тела под действием внешних сил (обычно без изменения его массы); деформация
Любое изменение, отклонение от нормы; деформация
Дехкане; дехканство
Устройство для автоматической расшифровки сообщения, передаваемого условными знаками (кодом, шифром и т. п.), и перевода содержащейся в нем информации на язык воспринимающей системы; дешифратор
Человек, относящийся к привилегированным слоям общества, строго следующий установленным в них правилам и нормам поведения (в Великобритании); джентльмен
Корректный, воспитанный, благородный человек; джентльмен
Разнообразные сложные упражнения на скачущей лошади; джигитовка
Слово или оборот речи, принадлежащие диалекту и употребляемые в литературном языке; диалектизм
Философское учение о всеобщих законах движения и развития природы, человеческого общества и мышления, научный метод познания вечно движущихся и изменяющихся явлений природы и общества путем вскрытия внутренних противоречий и борьбы противоположностей, при; диалектика
Фотографическое позитивное изображение на прозрачном материале для демонстрации с помощью проекционного устройства; слайд; диапозитив
Раздел медицины, в котором изучаются принципы рационального питания здорового и больного человека; диетология
Инфекционная болезнь, характеризующаяся преимущественным поражением толстого кишечника, тяжелым общим отравлением и нарушениями нервной системы; дизентерия
Прибор для измерения силы или момента силы при испытании машин и их эксплуатации; силомер; динамометр
Прибор для измерения силы мышц человека; динамометр
Шаровидные бактерии, располагающиеся попарно и вызывающие ряд инфекционных болезней; диплококки
Деятельность правительства, специальных органов или представителей государства по осуществлению внешней политики государства; дипломатия
Коллегия директоров объединения предприятий, учреждений, возглавляемая генеральным директором; директорат
Правительство Французской республики с 4 ноября 1795 г. по 10 ноября 1799 г., состоявшее из 5 членов; директория
Полоса местности войскового учебного центра или артиллерийского полигона для обучения личного состава стрельбе и проведения учений; директриса
Отсутствие комфорта, неудобство; дискомфорт
Размещение войсковых частей и военных учреждений на какой-либо территории, распределение авиационных войск по аэродромам, кораблей по портам; дислокация
Смещение пластов земной коры (в геологии); дислокация
План расположения войск, военных кораблей для боя или на месте стоянки; диспозиция
Письменный приказ командира, содержащий боевые задачи для войсковых частей (в армии Российского государства XVIII–XIX вв.); диспозиция
Подчинение твердо установленным правилам, обязательное для всех членов данного коллектива; дисциплина
Отрасль научных знаний; дисциплина
Публичное распространение сведений, порочащих кого-либо; диффамация
Вещество, практически не проводящее электрический ток; изолятор; диэлектрик
Рядовой, назначаемый на сутки в помощь дежурному для поддержания порядка в подразделении, для охраны оружия и имущества и т. п.; дневальный
Доброта, мягкосердечие; незлобивость; добродушие
Лицо, выдавшее доверенность; доверитель
Чувство внутреннего удовлетворения, удовольствия; довольство
Полив сельскохозяйственных культур путем разбрызгивания воды специальными машинами и установками; дождевание
Дополнительная заправка топливом самолета, космического аппарата, судна и т. п.; дозаправка
Совокупность методов определения дозы ионизирующих излучений на организм человека, животного и т. п.; дозиметрия
Машина, выравнивающая и распределяющая путевой балласт (песок, гравий) при строительстве железных дорог; дозировщик
Долгая жизнь; долголетие
Комар с тонкими длинными ногами; долгоножка
Семейство комаров с тонкими длинными ногами; долгоножки
Жук с длинным хоботком; слоник; долгоносик
Дополнительное искусственное опыление; доопыление
Положительный результат работы, деятельности; успех; достижение
Ребенок дошкольного возраста; дошкольник
Драматический кружок; драмкружок
Древесная лягушка; древесница
Бабочка семейства древоточцев, которая питается древесиной; древесница
Ночная бабочка, гусеница которой питается древесиной; древоточец
Морское животное (моллюск или ракообразное), повреждающее деревянные части судов и портовых сооружений; древоточец
Семейство ночных бабочек, гусеницы которых питаются древесиной; древоточцы
Дровосушная печь; дровосушня
Дружеское расположение, доброжелательное отношение; дружелюбие
Тип перестройки хромосомы, заключающийся в удвоении ее участка; дупликация
Озорная выходка; шалость; дурачество
Духовная, интеллектуальная природа, сущность человека, противополагаемая его физической, телесной сущности; стремление к совершенствованию, высоте духа; духовность
Теплая кофта без рукавов – обычно на вате, меху – как часть старинного женского русского костюма; душегрейка
Труба для прохода дыма; дымопровод
Деятельность дьякона; дьяконство
Каждый из четырех авторов канонических Евангелий (Матфей, Марк, Лука, Иоанн); евангелист
Причащение как одно из семи христианских таинств, совершаемых во время литургии; евхаристия
Система религиозных верований, основанная на представлении о единстве божества, о едином Боге; монотеизм; единобожие
Участник единоборства; единоборец
Человек одной с кем-либо религии, веры; единоверец
Согласие, единение в мыслях, чувствах, действиях; единодушие
Часть обрядового облачения священника православной церкви в виде длинной и широкой полосы ткани с изображениями религиозных символов, надеваемой на шею и свешивающейся спереди; епитрахиль
Класс одноклеточных типа простейших, характеризующихся наличием у них жгутиков; жгутиковые
Крупная безногая змеевидная ящерица семейства веретениц; желтопузик
Комнатное и садовое травянистое растение семейства крестоцветных с желтыми или красновато-желтыми цветками и приятным запахом; лакфиоль; желтофиоль
Моллюск, в раковине которого образуется жемчуг; жемчужница
Убийца своей жены; женоубийца
Решение вопроса с помощью жребия; жеребьевка
Мясо жеребенка, употребляемое в пищу; жеребятина
Возвышенное место, на котором приносились языческие жертвы; жертвенник
Стол в алтаре православной церкви, на котором совершается обряд проскомидии во время литургии; жертвенник
Жилая площадь; жилплощадь
Платежный оборот, осуществляемый без участия наличных денег; жирооборот
Письменное распоряжение вкладчика кредитному учреждению о производстве расчета с кредитором; жироприказ
Проживание, обитание; жительство
Птенец журавля; журавленок
Семейство птиц отряда журавлеобразных; журавлиные
Организованное коллективное прекращение работы на фабрике, заводе и т. п. с целью добиться от администрации или правительства выполнения требований; забастовка
Лицо, оставившее завещание; завещатель
Образование крутящихся струй, вихрей в жидкости (или газе) при обтекании предметов или при встрече двух потоков; завихрение
Нагнетание, закачка воды в нефтяной пласт с целью поддержания и восстановления пластового давления; заводнение
Завоеванные территории; завоевания
Участник заговора; заговорщик
Знахарь, лечащий заговорами; заговорщик
Устройство, соединяющее предмет, электро- или радиоприбор с землей; заземление
Проклятия, брань; заклинания
Лишение свободы; заключение
Вывод, суждение, сделанные на основании чего-либо; заключение
Окончание, завершение; заключение
Суждение, которое должно быть признано истинным, если посылки, из которых оно выводится, признаны истинными (в формальной логике); заключение
Соблюдение закона, законов; положение, при котором общественная жизнь и деятельность обеспечиваются законами; законность
Рабочий, руководящий забиванием свай в грунт при помощи копра; закоперщик
Столовая, в которой подаются закуски, блюда, не требующие сложного приготовления; закусочная
Материал, продукт и т. п., который по своим свойствам может заменить другой; заменитель
Гибель от холода; замерзание
Приспособление, производящее замыкание; замыкатель
Острый конец; заострение
Неприкосновенный участок земли или водного пространства, где сохраняются и оберегаются редкие виды животных, растений, минералов, культурно-исторические памятники и т. п.; заповедник
Лицо, избранное в установленном порядке для участия в рассмотрении уголовных и гражданских дел в суде; заседатель
Лицо, избиравшееся для участия в работе некоторых местных государственных и судебных органов (в Российском государстве до 1917 г.); заседатель
Сорняк, засоряющий посевы; засоритель
Помещение, где обедали дворовые люди (в помещичьем доме); застольная
Песня, обычно исполняемая во время праздничного обеда, ужина и т. п.; застольная
Организация или лицо, имеющие право строить, ведущие строительство; застройщик
Маскировка света как одно из средств противовоздушной обороны; затемнение
Затемненное место, потемнение, просматривающееся на рентгеновском снимке органа и свидетельствующее о его поражении (в медицине); затемнение
Глухое, удаленное от культурных центров место; захолустье
Приспособление для захватывания, держания; зацепление
Многолетнее растение семейства гвоздичных с цветками, формой напоминающими звезду; звездчатка
Зубчатое колесо в цепных передачах; звездчатка
Ферма, на которой разводят пушных зверей для получения их шкурок; звероферма
Пространство, заполненное звездами; множество звезд; звездность
Медицинское учреждение для оказания первой помощи при травмах, внезапных заболеваниях и т. п. (в учреждении, на предприятии и т. п.); здравпункт
Отделение литейного цеха, где производятся формовочные работы; земледелка
Бабочка-пяденица и ее гусеница; землемерка
Мастер, делающий зеркала; зеркальщик
Злодеяние, преступление; злодейство
Чувство удовлетворения, злобной радости, испытываемое при неудаче, несчастье другого; злорадство
Отношения между людьми, знающими друг друга, связанными общением; знакомство
Ознакомление с чем-либо; приобретение сведений, знаний; знакомство
Древняя форма народной медицины; врачевание, использующее наряду с рациональными методами магические, колдовские приемы, заговоры и т. п.; знахарство
Многолетнее травянистое растение семейства сложноцветных с желтыми цветками, собранными в соцветия, используемое в фармакологии; золотарник
Травянистое растение, имеющее белые с желтой серединкой цветки; золотоцвет
Научная дисциплина, изучающая влияние условий содержания животных на их здоровье и продуктивность; зоогигиена
Магазин, в котором продают животных; зоомагазин
Представление богов и духов в образе животных; зооморфизм
Научная дисциплина, изучающая основы разведения, кормления, содержания и использования сельскохозяйственных животных; зоотехника
Заостренное перо или палочка для удаления остатков пищи, застрявших между зубами; зубочистка
Гибрид зубра с бизоном; зубробизон
Устройство в виде трубы с фильтром на конце, применяемое для понижения уровня грунтовых вод при осушении; иглофильтр
Пребывание в сане игумена, игуменьи; игуменство
Письменный знак, условно обозначающий понятие (в отличие от буквы, обозначающей звук); идеограмма
Письмо при помощи идеограмм; идеография
Беспринципность в выборе средств для достижения своей цели; лицемерие, двуличие; иезуитство
Монах в сане дьякона; иеродьякон
Обильное выделение, выбрасывание; извержение
Извергнутая, выброшенная масса; извержения
Выборка, выдержка, выписка; извлечение
Земельная аренда, при которой плата за землю взимается не деньгами, а определенной долей урожая; издольщина
Прибор, применяемый для измерения; измеритель
Состояние крайней усталости, истощения; изможденность; измождение
Выдумка, вымысел; измышление
Складка горных пород, у которой осевая поверхность и крылья (места перегиба пластов) наклонены в одну сторону примерно под одинаковым углом; изоклиналь
Параллелизм в организации звуковой и смысловой сторон языка (в лингвистике); изоморфизм
Свойство веществ сходного химического состава образовывать кристаллы одинаковой формы; изоморфизм
Жестокость на почве религиозного фанатизма и нетерпимости; изуверство
Варварское отношение к чему-либо; крайняя жестокость; изуверство
Выезд в страну с целью длительного или постоянного пребывания там; иммиграция
Отрицание общеобязательности нравственных норм; имморализм
Половое бессилие у мужчин, заключающееся в неспособности к совершению полового акта; импотенция
Составная часть сложного соединения или смеси; ингредиент
Доля, часть; ингредиент
Установление количества, размера и приведение его в соответствие с индексом; индексация
Самостоятельно существующий живой организм; особь; индивидуум
Отдельный человек, отдельная личность; индивидуум
Мясо индейки, употребляемое в пищу; индюшатина
Помещение для содержания индюков, индеек; индюшатник
Свойство тела сохранять состояние равномерного прямолинейного движения или покоя, когда действующие на него силы отсутствуют или взаимно уравновешены (в механике); инертность
Внутреннее побуждение к новой деятельности, начинание, почин; инициатива
Способность к самостоятельным, активным действиям; предприимчивость; инициатива
Должностное лицо, принимающее деньги от организаций, предприятий и т. п. для сдачи их в банк; инкассатор
Судья инквизиции; инквизитор
Судебно-полицейская организация, учрежденная католической церковью в начале XIII в. и отличавшаяся крайней жестокостью в борьбе с врагами церкви; инквизиция
Книга, относящаяся к начальной поре книгопечатания (до 1501 г.), внешне похожая на рукописную книгу; инкунабула
Связь органов и тканей с центральной нервной системой посредством нервов (в анатомии); иннервация
Гражданин, подданный страны по отношению к другой стране; иностранец
Помещение для разведения и содержания насекомых в научных целях; инсектарий
Биологически активный химический препарат, применяемый для борьбы с вредными насекомыми; инсектицид
Вдох, вдыхание; инспирация
Воспитанница института (в Российском государстве до 1917 г.); институтка
Свод указаний, правил, устанавливающих порядок и способ выполнения или осуществления; инструкция
Руководящее указание; инструкция
Орудие – обычно ручное – для производства работ; инструмент
Вычислительное устройство, предназначенное для интегрирования; интегратор
Небольшая музыкальная пьеса, исполняемая в промежутках между частями другого музыкального произведения; интерлюдия
Небольшая пьеса религиозно-нравоучительного, а позднее – фарсового характера (в английском театре в конце средних веков и начале эпохи Возрождения); интерлюдия
Самостоятельная сценка (обычно комического характера), исполняемая между действиями или в середине действия драмы, оперы и т. п.; интермедия
Близость, связь; интимность
Местное уплотнение и увеличение объема тканей вследствие скопления в них эритроцитов, лейкоцитов, клеток новообразования и т. п.; инфильтрат
Сообщение о положении дел где-либо; о состоянии чего-либо; информация
Сведения об окружающем мире и протекающих в нем процессах, воспринимаемые человеком или специальными устройствами; информация
