Лингвистическое серебро?; слово
Условный знак для передачи на растоянии каких-либо сообщений?; сигнал
Условный знак?; символ
Условный письменный знак, обозначающий целое понятие?; идеограмма
Усмешка?; ухмылка
Успех – вот что создает великих людей. Автор?; Наполеон
Установленная мера, средняя величина чего-либо?; норма
Устар. прибор для механической звукозаписи на поверхности покрытого воском цилиндра?; фонограф
Устаревшая система очистки городов?; ассенизация
Устаревшее название порошковой металлургии?; металлокерамика
Устойчивость физиологических функций организма; гомеостаз
Устройство вывода информации?; принтер
Устройство для “прошивки” микросхем?; программатор
Устройство для преобразования уровня напряжения переменного тока?; трансформатор
Устройство (машина, прибор), работающее без непосредственного участия человека?; автомат
Устройство вывода визуальной информации?; дисплей
Устройство для курения у народов Востока?; кальян
Устройство для приготовления бензовоздушной горючей смеси для двигателя?; карбюратор
Устройство, аппарат, машина, вырабатывающие какой-либо продукт или энергию?; генератор
Устройство, именуемое “keyboard”, служит для ... ?; ввода информации
Устройство, предохраняющее автомобили от участи Анны Карениной?; шлагбаум
Устройство, непрерывно или периодически производящее, вырабатывающее что-либо?; генератор
Утварь, которой положено быть дырявой?; дуршлаг
Утес-остряк?; скала
Участок в пустыне с обильным естественным или искусственным увлажнением, обусловленным близостью рек или грунтовых вод, с богатой растительностью?; оазис
Участок водной поверхности?; акватория
Участок омертвения органа, возникающий из-за спазма или закупорки питающих его кровью сосудов?; инфаркт
Учебное заведение с проживанием и полным содержанием воспитанников?; пансион
Учебное заведение?; училище
Учение о “пути” (вещей), возникло в Китае в 6–5 вв. до н. э. Основоположник – Лао-цзы, призывающий следовать природе, жить естественной жизнью?; даосизм
Учение о морали?; этика
Учение о способах пpеподавания той или иной науки?; методика
Учение об интуиции как самом главном и самом надежном источнике познания?; интуиционизм
Ученик дервишского шейха?; мюрид
Ученик Иисуса Христа, избранный и посланный Им на проповедь?; апостол
Ученые считали, что эта рыба вымерла 70 млн. лет назад, а она преспокойно плавает у южных берегов Африки. Друое её название – Целакант. Что за зверь?; латимерия
Ученый, изучающий письменные тексты на основе их содержательного, языкового и стилистического анализа?; филолог
Ученый, подтверждающий свою квалификацию ученой степени?; диссертант
Ученый, трудами которого пользуются рыбаки?; ихтиолог
Ф. Линдеман доказал неосуществимость решения задачи о ... ?; квадратуре круга
Фабричный знак, логотип?; марка
Фаза луны, во время которой происходят солнечные затмения?; новолуние
Факт нахождения обвиняемого или подозреваемого вне места совершения преступления в момент преступления или просто доказательство невиновности?; алиби
Фальшивый документ, записка, письмо?; ксива
Фамилия 39-ого президента США совпадала с частью ... ?; двигателя
Фамилия актера, который “снял” Джулию Робертс?; Гир
Фамилия какого известного политического деятеля происходит от известного жесткокрылого?; Хрущев
Фамилия режиссера фильма “Полное затмение”?; Холланд
Фамилия того, кто отказался от роли Иисуса Христа в фильме Мартина Скорсезе?; Де Ниро
Фамилия украинского писателя, автора “Берега любви”, “Тронки” и “Собора”, имеет отношение к профессии изготовителя майолики и метлахской ... ?; плитки
Фамилия “солнечного клоуна”?; Попов
Фамилия того, у кого излюбленным является слово “понимаешь”?; Ельцин
Фамилия того, чей дядя был самых строгих правил?; Онегин
Фасон мужских брюк?; панталоны
Фаунистич. царство суши?; неогея
Фаэтон по отношению к Гелиосу?; отпрыск
Физик-сопротивленец?; Ом
Физик-теоретик, создатель теории относительности?; Эйнштейн
Физиологическое состояние организма, сопровождающееся ощущением сухости во рту и глотке, побуждающее к потреблению воды?; жажда
Физический недостаток этого военачальника дал повод назвать его именно так: Тимур – ... ?; железный хромец
Философия марксизма. Исходит из того, что материя – единственная основа мира, сознание – свойство материи; признает всеобщую взаимосвязь предметов и явлений, движение и развитие мира как результат его внутренних противоречий?; диалектический материализм
Философское направление, выдвигающее сомнение в качестве принципа мышления, особенно сомнение в надежности истины?; скептицизм
Философское течение, отрицающее Бога. В радикальной форме известны ярко выраженные такие формы, как марксизм и позитивизм?; атеизм
Философское течение, противоположное материализму?; идеализм
Философское учение о сверхчувственных (недоступных опыту) принципах бытия; о том, что познаваемо нами только после природы (потому что лежит “позади нее”), но само по себе не является первым?; метафизика
Философское, экономическое и политическое учение, созданное К. Марксом и его дружком Ф. Энгельсом?; марксизм
Фильм Б. Бертолуччи “Последнее ... в Париже”?; танго
Фильм Н. Михалкова?; автостоп
Фильм с участием Л. Гурченко?; вокзал для двоих
Фильм с участием Мадонны (гл. роль)?; эвита
Фильм Э. Рязанова?; гараж
Фильм, в котором снялся Виктор Цой?; игла
Фильм, прославивший американскую актрису Лайзу Миннелли, называется?; кабаре
Финансирующее лицо или организация?; спонсор
Финансы этого поп-исполнителя “поют романсы”?; Буйнов
Финиш наземной подготовки космонавта?; старт
Финский национальный эпос о подвигах и приключениях героев сказочной страны Калева?; калевала
Финский холодильник, мечта советских женщин, за который была продана “кавказская пленница”?; Розенлев
Фирма известная на мировом рынке как изготовитель маршрутизаторов? (ответ англ. буквами); cisco
Фирма известная своими акустическими системами в советское время?; радиотехника
Фирма-изготовитель процессоров (рус. буквами); АМД
Фирменная бумага с заголовком?; бланк
Фирменное название, которое дала ацетилсалициловой кислоте фирма “Байер” – это ... ?; аспирин
Фирменный прикид и слуг, и вышибал?; ливрея
Флаг Великобритании называют ... ?; юнион джек
Флотский чин в дореволюционной России 2-го класса?; адмирал
Флотский чин в дореволюционной России 6-го класса – Капитан ... ?; первого ранга
Флотский чин в дореволюционной России 8-го класса – Капитан ... ?; третьего ранга
Фольклорный жанр?; плач
Форма книги в Древнем Риме из скрепленных вместе папирусных листов или вощеных дощечек?; кодекс
Форма под фундамент?; опалубка
Форма правления, при которой во главе государства стоит одно лицо?; монархия
Форма проявления воли?; диктат
Форма рельефа?; равнина
Форма сырья для производства пластмассовых изделий – пеллеты, глобулы, ...?; гранулы
Форма монополии; объединение нескольких независимых компаний с целью недопущения конкуренции?; картель
Форма правления, при которой верховная власть всецело принадлежит монарху?; абсолютизм
Формалист, волокитчик, приверженец канцелярщины?; бюрократ
Форменная одежда слуги, швейцара, кучера?; ливрея
Форменная куртка?; китель
Форменные брюки, широкие в бёдрах и узкие в голенищах?; галифе
Форос печальное место для Горбачева. Что оно означает буквально?; налог
Фраза “Карету мне! Карету!” принадлежит ... ?; Чацкому
Фраза, произнесенная французским режиссером Рене Клером: “Фильм готов, осталось только ...”?; снять
Фразеологизм – это то же самое, что и ...; идиома
Фразу “Я сам знаю, что эта задача не имеет решения. Я хочу знать, как ее решать” сказал Кристобаль ... ?; Хунта
Франс Снейдерс – это современник и сотрудник Питера ... ?; Рубенса
Франц. кинорежиссер, постановщик фильма “Детектив”?; Годар
Франц. композитор, автор оперы “Дитя и волшебство”?; Равель
Франц. композитор?; Пуленк
Франц. писатель, автор “Наполеон”, “Чума”?; Камю
Франц. писатель?; Дюма
Франция – “мадам”, Англия – “миссис”, Испания – ...?; донна
Француз насчитал 80, швед предложил 100, а немец настаивал на 180. Речь идет о точке ... ?; кипения воды
Французский писатель, “родитель” “Королевы Марго” и “Графа Монте-Кристо”?; Дюма
Французский скульптор?; Роден
Французская актриса, принцесса из Braveheart?; Марсо
Французская колония в Северной Америке?; Реньо
Французский актер Андре Рембур выбрал в качестве псевдонима название деревни, в которой родился. А называлась она ... ?; Бурвиль
Французский генетик и вирусолог. Нобелевская премия (1965, совместно с Жакобом и Моно)?; Львов
Французский драматург, по словам Пушкина – его учитель в области похабных стихов?; Скаррон
Французский композитор, “Цветы”, “Болеро”, “Зеркала”?; Равель
Французский микробиолог и химик (1840–1904)?; Дюкло
Французский музей, где Джоконда?; Лувр
Французский писатель, большой знаток “парижских тайн”?; Сю
Французский физик. Нобелевская премия (1908)?; Липман
Французский философ (1913–1960). Защищал экзистенциализм “абсурдного”, учение о чуждости человека в мире. Сизиф – символ жизни. Выступал против марксисткой морали. Это Альбер ... ?; Камю
Французский химик и общественный деятель?; Бертло
Французское ожерелье?; колье
Французы – “Песня о Роланде”, греки – “Одиссея”, финны – ... ?; калевала
Фредерик Жолио-Кюри однажды сказал: “Чем дальше эксперимент от теории, тем ближе он к ...”?; нобелевской премии
Фридрих Ницше считал, что есть всего два способа избежать страданий в жизни. Это быстрая смерть и ... ?; долгая любовь
Фрукт, который русские музыканты использовали для названия своего ансамбля?; манго
Фруктовый напиток?; лимонад
Фтор, хлор, йод – это ... ?; галогены
Функция телефона, состоящая в автоматическом многократном наборе номера?; автодозвон
Футболисты какой сборной заявили “Пусть нам забивают сколько смогут, а мы забьем им сколько захотим”?; Бразилия
Футбольная обувь?; бутсы
Футбольный клуб Италии?; ювентус
Футляр для вкладывания сабли, шпаги, кинжала?; ножны
Футляр, в котором лучники хранят стрелы?; колчан
Хайнык это ... ?; як
Хан Батый не предал огню одно русское селение только потому, что ему там принесли котелок ... ?; русских щей
Хан Большой Орды, поражение которого привело к освобождению Руси от монголо-татарского ига; Ахмат
Характеристика фигуры в длину и ширину, выражаемая в квадратных единицах?; площадь
Харриет Форстер, корреспондент “Гардиан”, назвал “Диснейлендом XVIII века” ...; Версаль
Хвойное, которое “становится” голубым возле органов власти?; ель
Хим. и физ. агент, понижающий число мутаций?; антимутаген
Хим. радикал, входящий в состав многих органических соединений?; метил
Хим. элемент, встречающийся в природе в виде соли?; галоид
Хим. элемент, металл серебристо-белого цвета?; марганец
Хим. элемент, металл?; ниобий
Химик Кекулле решил задачу о кольцевой структуре бензола, наблюдая из лондонского омнибуса, как сцепляпись между собой ... ?; обезьяны
Химич. элемент?; кремний
Химический элемент – самый легкий из металлов?; литий
Химический элемент, галоген?; фтор
Химический элемент, используемый в светочувствительных барабанах ксероксов?; селен
Химический элемент, мягкий металл?; индий
Химический элемент, важнейшая составная часть органических веществ?; углерод
Химическое вещество, применяемое в медицине как обезболивающее?; новокаин
Химическое соединение азота с металлами?; нитрид
Хиромантийный дисплей?; ладонь
Хирургическая операция по удалению какого-либо органа, конечностей?; ампутация
Хирургическое удаление половых желез?; кастрация
Хирургическое иссечение крайней плоти?; обрезание
Хит группы “Мумий Тролль”?; владивосток 2000
Хит Найка Борзова?; лошадка
Хит Софии Ротару?; лаванда
Хитрая уловка?; финт
Хитрый прием?; уловка
Хищная пресноводная рыба отряда лососеобразных?; щука
Хищная птица или город в России?; орел
Хищная птица семейства ястребиных. Длина до 90 см. Может долго парить; добычу хватает на земле. Используется как ловчая птица?; беркут
Хищник семейства виверровых?; мангуст
Хищник семейства кошачьих, распространенный в пустынях Африки и Азии?; каракал
Хищник семейства псовых, обитающий на территории от Аляски до Центральной Америки?; койот
Хищное млекопитающее рода лисиц семейства собак?; корсак
Хищное млекопитающее сем. енотовых?; коати
Хищное млекопитающее семейства кошачьих с очень острым зрением?; рысь
Хищное млекопитающее?; кошка
Хобби у киноактера Брюса Уиллиса – он поет ... ?; блюз
Ходячий труп?; зомби
Хозяин фирмы, руководитель, большой начальник (ирон.)?; босс
Холодная закуска?; салат
Холодное оружие, название которого в буквальном переводе с французского звучит как “разбей голову”?; кастет
Холодное офицерское оружие?; кортик
Холодное оружие в виде тонкого заточенного стержня, отвёртки и т. п.?; заточка
Хомут для рабочего скота?; ярмо
Хорош ... , когда не один?; блин
Хороший ... – характеризуют речь человека, виртуозно владеющего родным языком. О чем речь?; слог
Хорошо оплачиваемая должность, не требующая большого труда?; синекура
Хотя в быту этот предмет с чернильным пятном не совместим, на арене цирка они прекрасно уживались вместе. Это были ... ?; Карандаш и Клякса
Хотя его фамилия обозначала по-гречески “золотых дел мастер”, он стал великим художником. Кто он?; Куинджи
Хотя этот город не был столицей СССР, но иностранные посольства в нем размещались?; Куйбышев
Хочешь мира – готовься к ... ?; войне
Хочешь, я украду для тебя мою сестру? Как она пляшет! – кто сделал это предложение в “Герое нашего времени”?; Азамат
Христианин “западной” церкви?; католик
Христианский праздник в память въезда Христа в Иерусалим, жители которого приветствовали Сына Божьего, бросая перед ним на дорогу пальмовые ветви. Отмечается в последнее воскресенье перед Пасхой?; вход господен в иерусалим
Христианский праздник в память явления около 910 г. во Влахернском храме в Константинополе Богородицы, простирающей свой покров над всеми верующими. Отмечается 1 (14) октября?; покров пресвятой богородицы
Христианский праздник в честь встречи праведником Симеоном мессии – ребенка-Христа, которого родители принесли в храм для посвящения Богу. Отмечается 2 (15) февраля?; сретение господне
Христианский праздник в честь преображения Иисуса Христа, явившего ученикам незадолго до Голгофских страданий свою Божественную природу. Отмечается 6 (19) августа?; Преображение
Христианский праздник, связанный с христианским преданием о том, как архангел Гавриил сообщил Деве Марии “благую весть” о гядущем рождении у нее божественного младенца. Отмечается 25 марта (7 апреля)?; благовещение
Христианское богослужение с причащением?; литургия
Христианское отношение к жестоким ударам судьбы?; смирение
Худож. интеллигенция?; богема
Художественная кеpамика, покpытая непpозpачной глазуpью?; майолика
Художественная краска, которую добывали из высушенных моллюсков?; сепия
Художественное оформление спектакля?; декорация
Художественный руководитель Московского театра имени Вахтангова?; Мережко
Художник, изображающий фрукты, овощи и прочую снедь?; натюрмортист
Худший из “казенных домов” в расплывчатых гадалкиных предсказаниях?; тюрьма
Хэмиэхинус Ауритус – это ... ?; еж
Царица Египта, которая была известна как “змея Нила”?; клеопатра
Царица из “Сказки о царе Салтане” разбила волшебное зеркальце об ... ?; пол
Царский стул?; трон
Царь, ставший “крестным отцом” бесплодной работы?; Сизиф
Царьград – это древнее название города ... ?; Стамбул
Царя, не унаследовавшего власть, а захватившего ее, древние греки называли ... ?; тираном
Цвет гитары, которую обнимают нежно? (муж. р., ед. ч.); желтый
Цвет светофора, при котором положено переходить улицу?; зеленый
Цветовое решение?; колорит
Цветок – звезда по-латыни?; астра
Цветок розы?; розан
Цветок, до сих пор цветущий на бывших барских усадьбах?; мальва
Цветок, названный в честь монашеского капюшона?; настурция
Цветок-мужичок?; василек
Ценная бумага на предъявителя?; облигация
Центр кухонного творчества?; плита
Центр штата Южная Австралия?; Аделаида
Центральная укрепленная часть древнерусских городов?; кремль
Центральный отдел нервной системы человека и животных?; мозг
Центральный персонаж комедии И. Тургенева “Нахлебник”?; старик
Цепи для религиозного фанатика?; вериги
Цепкохвостая обезьяна, название которой говорит о хорошо развитых голосовых связках?; ревун
Церковно-административная единица, управляется архиереем?; епархия
Церковное наказание, исполняемое раскаявшимся верующим (долгая молитва, милостыня, паломничество и т. п.)?; епитимия
Церковное песнопение?; хорал
Церковный обряд в христианстве, предназначенный приобщить верующих к божественной благодати?; таинство
Цирковой гимнаст?; акробат
Цирковой или эстрадный артист, владеющий искусством создавать у зрителей видимость появления и исчезновения предметов?; иллюзионист
Цитата из дневника Отто Юльевича Шмидта: “Он затонул 13 февраля 1934 года в 15 часов 30 минут в ста пятидесяти пяти милях от мыса Северного и в ста сорока четырех милях от мыса Уэлен”. Кто он?; Челюскин
Цитата, помещаемая перед текстом литературного произвед.?; эпиграф
Число первoгo дeсяткa?; восемь
Число первого десятка?; один
Цифровое или буквенное обозначение типа изделия или товара?; артикул
Цыганский предводитель имеет титул ... ?; барон
Чародей, волшебник?; маг
Часовой пояс?; циферблат
Частица, употребляемая при переспросе как вопросительный отклик?; ась
Часто попадает под хвост?; вожжа
Частота системной шины Pentium 4 (в МГц)?; 400
Часть бутсы, используемая для самых неточных ударов?; носок
Часть вещества, материала, взятая для анализа, испытания?; проба
Часть водолазного снаряжения?; гидрокостюм
Часть войны?; кампания
Часть года; стих. М. Лермонтова; сов. кинофильм?; весна
Часть горизонта, “сигнализирующая” о том, что закончилась очередная ночь?; восток
Часть деталь огнестрельного оружия?; ствол
Часть жизни, в которой ничего нельзя поправить?; прошлое
Часть залежи полезного ископаемого, не извлеченная в процессе разработки месторождения?; целик
Часть Земли, о которую “трутся спиной медведи”, отчего она и вертится?; ось
Часть канона священных книг иудаизма – “Пятикнижие Моисея”?; тора
Часть лампы (накаливания, электронной) для ее установки в патроне или на панели?; цоколь
Часть ноги?; ступня
Часть педагогики, занимающаяся закономерностями обучения определенному предмету?; методика
Часть ракетного двигателя?; сопло
Часть речи, обозначающая признак действия или качества?; наречие
Часть речи?; глагол
Часть сбруи для езды на спине животного?; седло
Часть скелета?; кость
Часть сложных слов, обозначающая круг, кольцо, цикл?; цикло
Часть сложных слов, указывающая на: 1) расположение сверху, над чем-либо; 2) высшую степень качества, чего-либо; 3) главенство?; супер
Часть спины?; лопатка
Часть текста (сложное синтаксическое целое), представляющая собой смысловое единство и выделяемая отступом в 1-й строке?; абзац
Часть тела, травмированная в “Айболите” у “бедного кузнечика”?; плечико
Часть чего-нибудь?; доля
Часть человечества?; этнос
Часть вашего тела, помогающая не захиреть хиромантам?; ладонь
Часть кpаденого?; доля
Часть народа, живущая в какой-либо стране вне своей исторической родины?; диаспора
Часть станка: опора для шпинделя, инструмента, устройства, поддерживающего заготовку?; бабка
Чаще всего глупости делаются для того, чтобы не выглядеть ... ?; дураком
Чего “объелся муж” из фольклорной присказки?; груш
Чего больше всего не хватает при цейтноте?; времени
Чего боятся люди, страдающие трискайдекафобией?; 13
Чего в мешке не утаишь?; шило
Чего не смог побороть Николай II в 1914 году, Вудро Вильсон – в 1920, а Михаил Горбачев – в 1987?; пьянство
Чей портрет изображен на стодолларовой купюре?; Франклин
Чей свет, с точки зрения заправского остроумца Козьмы Пруткова, полезнее солнечного?; месяц
Чей текст вошел в каноническое издание Библии?; Экклезиаста
Человек безмерной силы, отваги, стойкости?; богатырь
Человек имеет 639 мускулов, а гусеница свыше ... ?; 4000
Человек, которому платят за то, что он говорит неправду?; политик
Человек, который сказал что у человека есть сознательное и подсознательное?; Фрейд
Человек, который сказал, что параллельные прямые не пересекаются в пространстве?; Евклид
Человек одинакового возраста с кем-нибудь?; сверстник
Человек, познакомивший нас с “миром снов”?; Кастанеда
Человек с глубокими знаниями?; эрудит
Человек со странностями?; чудак
Человек сознательно истребляет кузнечиков, совершенно для него безвредных, именно для этого – для ... ?; еды
Человек уникального слуха Константин Сараджев мог отчетливо слышать в октаве 1701 звук. О нем нам рассказала Анастасия ... ?; Цветаева
Человек, владеющий матерным лучше русского?; сквернослов
Человек, всегда работающий с огоньком?; таксист
Человек, живущий в роскоши?; сибарит
Человек, заброшенный в тыл врага с подрывными целям?; диверсант
Человек, занимающийся благотворительностью?; филантроп
Человек, имеющий одинаковое с кем-либо имя?; тезка
Человек, который на день освобождается от работы, чтобы последним прочесть газету в поисках ошибок, на газетном жаргоне называется ... ?; свежая голова
Человек, который называет себя “апсуа”?; абхаз
Человек, не любящий людей, отчуждающийся от них?; мизантроп
Человек, оставивший след?; наследник
Человек, роющий себе могилу собственными зубами?; обжора
Человек, с пренебрежением относящийся к нормам общественной морали, нравственности?; циник
Человек, тайно “дружащий” с одним человеком против другого?; заговорщик
Человек, у которого всегда хватает лапши, чтобы повесить ее на уши самой многочисленной аудитории?; оратор
Человек, увлекающийся чтением?; книгочей
Человек, имеющий право переходить улицу как на зеленый, так и на красный свет?; дальтоник
Человек, которому обезьяны много чем обязаны?; Дарвин
Человек, который знал заранее о каждом шаге Чингачгука?; Купер
Человек, обнаруживающий в книге то, чего ее автор меньше всего предполагал?; критик
Человек, поющий о девушке-виденьи?; Леонидов
Человек, находящийся на ступени первобытной культуры?; дикарь
Человека, бегущего возле колесницы Цезаря, возвращавшегося из похода с победой, и выкрикивающего ему хулу, дабы он не возгордился, в Древнем Риме называли ... ?; оппонент
Человекоподобное разумное существо (фант.)?; гуманоид
Чем болеет бывший лидер команды НБА Мэджик Джонсон?; СПИД
Чем больше их ешь, тем больше остается?; раки
Чем выплачивались дивиденды акционерам Ост-Индийской компании до 1644 года?; пряностями
Чем заведовал ясельничий – придворный чин в Русском государстве?; царской охотой
Чем занималась Пенелопа, ожидая Одиссея? (ответ – глагол); ткала
Чем кормят собак перед охотой?; ничем
Чем можно разгружать вагон с людьми?; грабли
Чем можно разрезать алмаз?; алмазом
Чем обмениваются новобрачные в ЗАГСе?; кольцами
Чем обычно завершается телевизионная программа новостей?; прогнозом погоды
Чем оканчивается старая пословица, которая начинается со слов: “Скажешь правду, потеряешь ... ”?; дружбу
Чем Остап Бендер призывал “ударить по бездорожью и разгильдяйству”?; автопробегом
Чем отличается цапля-кваква от других видов цапель?; хохолком
Чем питался в пустыне Иоанн Креститель?; кузнечиками
Чем по сути является игра, в которую Вы именно сейчас играете?; викторина
Чем самец богомола подкармливает свою даму в трудное время беременности?; своим мясом
Чем является хирургическая операция, называемая обрезанием?; обряд
Чемпион мира по боксу Тайсон получил 6 лет тюрьмы за изнасилование мисс ... ?; Вашингтон
Чему, по мнению философа Гегеля, учит нас история человечества?; ничему
Чердак, доживший до евроремонта, и знаменитый журнал для мужчин?; пентхауз
Черная ягода и кустарник, на котором она растет?; смородина
Черноморская рыбка, султанка?; барабулька
Черноморский город-курорт?; Судак
Черноморский дельфин и цвет вазовского автомобиля?; афалина
Черта характера человека?; властность
Черта характера, состояние человека?; азартность
Черта характера?; оптимизм
Чертовой дюжиной в Японии считается число ... ?; 4
Четверть гаммы, интервал в 4 ступени звукоряда?; кварта
Четыре сольдо выданные полицейским Карабасом-Барабасом с юридической точки зрения?; взятка
Четырехугольное вместилище для ручной перевозки вещей с крышкой и ручкой?; чемодан
Чехословацкую православную церковь основали братья ... ?; Кирилл и Мефодий
Чины политической полиции в царской России назывались ... ?; жандармы
Число выводов корпуса 16-разрядного микропроцессора i80286?; 68
Число дополнительных инструкций для одновременной обработки нескольких единиц данных, введенных в систему команд микропроцессоров с расширением MMX?; 57
Число игроков в футбольной команде (в игре)?; 11
Число, подвергаемое делению?; делимое
Число, представленное как состоящее из частей единицы?; дробь
Чисто английское похищение?; киднеппинг
Чисто конкретный, как выражается поколение, выбравшее “пепси”, способ реализации задуманного?; метод
Чисто мужской танец гуцульских богатырей, спустившихся с гор?; аркан
Чисто советское понятие из области материального обеспечения?; дефицит
Член католич. монаш. ордена; настурция; маск. костюм?; капуцин
Член общества вольных каменщиков?; масон
Член тайного общества в Италии (19 в.)?; карбонарий
Членистоногий к пиву?; креветка
Члены этой группы шутливо расшифровывали ее название ГИРД так: “Группа Инженеров, Работающих Даром”, а ее официальное название – “Группа Изучения ... ”?; реактивного движения
