Xищнaя птицa; дербник
Бабка, нижн. часть конечности лошади; путо
Бабочка с “морским званием” и пестрой окраской; адмирал
Бабочка, вредное насекомое; моль
Баптисты, пятидесятники, что общего?; секта
Бабушкин “сундук”; комод
Баварская, саксонская династии; Вельф
Баварский национальный напиток; пиво
Багажная сопроводилка; бирка
Багамские о-ва (столица, центр); Нассо
Багрянец (поэт.); багрец
Багрянец; пурпур
Бажовский мастер; Данила
База, произведшая операцию по изменению пола; базис
Базальтовая горная порода с полев. шпатом; спилит
Базар, базарная площадь на юге России; майдан
Базар; рынок
Базарная площадь в Ср. Азии; майдан
Байкал или Титикака; озеро
Байкал с армянской “пропиской”; Севан
Байкальская рыба; омуль
Байкальский ветер – зверь; сарма
Бакинский комиссар; Амирян
Бактерии, способные усваивать атмосферный азот; азотобактер
Бактерии; аэробы
Бактериоцид; фаг
Бактерия без жгутиков; атрихия
Бактерия, вирус; фаг
Бактерия, имеющая вид изогнутой палочки, запятой?; вибрион
Бал, собрание в эпоху Петра I; ассамблея
Балаганный шут; гаер
Балдахин как он есть; навес
Балет Ф. Яруллина на сюжет одноименной поэмы Г. Тукая; шурале
Балерина, для которой была сочинена миниатюра “Умирающий лебедь” на музыку К. Сен-Санса?; Павлова
Балерина, народн. артистка СССР; Бовт
Балерина (не фамилия); танцовщица
Балет А. Адана; опера Беллини; пират
Балет А. Адана; жизель
Балет А. Хачатуряна; Гаянэ
Балет Адольфа Адана; корсар
Балет Б. А. Александрова; левша
Балет Баланчивадзе; Мцыри
Балет В. Власова и В. Фере; анар
Балет В. Власова по произведению Ч. Айтматова; асель
Балет В. Гаврилина; Анюта
Балет Василенко; лола
Балет Гладкова; Тиль
Балет И. Стравинского; агон
Балет И. Ф. Стравинского; Орфей
Балет Л. Минкуса; пахита
Балет Пейко; абакаяда
Балет Э. Лало; намуна
Балет Эшпая; Ангара
Балет Я. Витола; илга
Балет русского советского композитора Сергея Василенко; лола
Балет, к которому А. Хачатурян написал “Танец с саблями”; Гаянэ
Балетмейстер (первая рус. балетная школа в 1738 г.); Ланде
Балетная медлительность; адажио
Балетная поза; арабеск
Балетная туфля с твердым носком; пуант
Балетное па, исполнительница которого, по мнению А. Райкина, вполне могла бы давать ток, как динамо машина; фуэте
Балетное па, которое можно назвать “бегом по воздуху”; антраша
Балетные туфли с твердыми носками; пуанты
Балетный прыжок, при котором танцор успевает несколько раз скрестить в воздухе вытянутые ноги; антраша
Балетный прыжок; соте
Балка круглого или прямоугольного сечения; гимнастический снаряд; брус
Балка круглого или прямоугольного сечения; брус
Балка, проходящая посредине днища судна; киль
Балканск. блюдо по типу турецких “жареных супов”; яхния
Балканский хоровод; коло
Балкон балагана; раус
Балкон в церкви; хорос
Балкон, встроенный в фасад дома, не висячий; лоджия
Балкон, углубленный в здание; лоджия
Балл от хвоста (студ.); тройка
Баллада В. А. Жуковского; доника
Баллада В. Жуковского (персонаж Эдвин); Варвик
Балласт для нашего организма; шлак
Баллононоситель?; аквалангист
Балочное перекрытие пролета или завершение стены; антаблемент
Балт. племя в 1-м – нач. 2-го тыс. н. э.; голядь
Балтийск, город-порт в России, Калининградская обл.; Пиллау
Балтийская селедка; салака
Балтийский шахматист, играл с Потемкиным; Амелунг
Балующийся, резвящийся ребенок; шалун
Бальнеоклиматический курорт в Грузии; Шови
Бальный парный танец мексиканского происхождения; румба
Бальный парный танец; самба
Бальный танец родом из ГДР; липси
Бальный танец чешского происхождения; стрижка; полька
Бальный танец чешского происхождения; полька
Бальный танец, с 16 века распространенный в Европе; павана
Бальный танец; город в США; роман Синклера; ткань; бостон
Бальный танец; парфюмерная фирма в Москве; линда
Бальный танец; бостон
Эстрадный танец; канкан
Бальный экипаж Золушки; карета
Бамбук и сорго – вместе; злаки
Банальность; трюизм
Бангладеш. художник и график; Абедин
Бандитский дом культуры; притон
Банкет; тактич. элемент в спорте; прием
Банкет; прием
Банкнота, бумажные деньги; купюра
Банковские вклады частных лиц и организаций; авуары
Банковский термин, о содержании которого говорят: “Берешь чужие, отдаешь свои”; кредит
Банковский торгово-транспортный центр в Швейцарии; Цюрих
Банковское извещение о выполнении расчетной операции; авизо
Банкомет, распорядитель игры в казино, представляющий заведение (забирает ставки, выдает игрокам выигрыши); крупье
Банкомет, распорядитель игры в казино, представляющий заведение?; крупье
Баночная рыба; сайра
Бантик, сердечко, лилия, листик, кошелечек, узелок... Назовите рекордсмена по уничтожению этого; Карлсон
Баня по-фински; сауна
Барабан купола; тамбур
Барабанные палочки стиха?; рифма
Барабанный грохот с нецилиндрической поверхностью; бурат
Барабанщик группы “Битлз”; Старр
Барабанщик из рок-группы?; ударник
Бараний пастырь; овчар
Барашек, отправленный на шашлык богам; агнец
Барбос; пес
Барибал – это вид какого животного?; медведь
Барион, мезон – общее название; адрон
Бармалей, придумавший лозунг: “Нормальные герои всегда идут в обход”; Быков
Барон, ... , граф; виконт
Бархатистое дерево; бархат
Бархатистый шнурок для бахромы, вышивания; синель
Барьер из камней, плит, отделяющий проезжую часть от тротуаров, обочин; бордюр
Барьер между дыханием и пищеварением?; диафрагма
Баскетболист делает в корзину; бросок
Баскетболист (фамилия); Андреев
Баскетбольная корзина; щит
Басня Крылова; бочка
Басонные изделия с металлической нитью; галун
Бассейн для ритуальных омовений в синагоге; миквэ
Бастион; башня
Батарейка; крона
Бати-гол?; Батистута
Батиковый платок у яванцев; икет
Батискаф и атомная бомба, пиротехника и лечение психозов – вот области применения этого элемента. Что это за элемент?; литий
Батог; палка
Батончик, дающий “райское наслаждение”; баунти
Батрак в Германии, Австрии; кнехт
Бату, монгольский полководец; Батый
Батун, порей, Шалот – одним словом; лук
Батый по отношению к Чингисхану; внук
Батый, “Золотая ...”; орда
Батый, монгольский полководец, хан; Бату
Батюшка, но не поп; отец
Бахус; Вакх
Бахча; баштан
Бахчевая культура; арбуз
Башк. народный инструмент; курай
Башк. писатель автор романа “Фундамент”; Агиш
Башк. поэт-просветитель 19 в.; Акмулла
Башк. поэт; Юлаев
Башкир. поэт; Гафури
Башкирия, пристань на р. Белая (город); Бирск
Башкирск. муз. инструмент; кубыз
Башкирская продольная флейта; курай
Башкирские рабы из средних веков; туснак
Башкирский кубаир как поэтическое творение?; сказ
Башкирский поэт; сов. хоккеист; Бабич
Башкирский поэт; Бабич
Башкирское жареное тесто; юаса
Башкирское мужское имя; Арслан
Башмаки на деревянной подошве; сабо
Башмаки, выдолбленные из дерева; сабо
Башнеобразное сооружение?; колокольня
Башня Московского Кремля?; Оружейная
Башня Московского Кремля; Арсенальная
Башня с колоколами возле церкви?; колокольня
Башня с сигнальными огнями на берегу моря, на острове, в устье реки; маяк
Башня, башнеобразное сооружение; столп
Башня, колонна; столп
Бдительный страж; аргус
Бег и др. соревнования на короткие дистанции; спринт
Бег на короткие дистанции; спринт
Бег на определенное расстояние; забег
Бег по буеракам; кросс
Бег по ухабам на лоне природы; кросс
Бегающая птица; казуар
Бегун на длинные дистанции, выносливый человек; стайер
Бегун, которому “по плечу” длинные дистанции; стайер
Бегун; спринтер
Бегущая мишень в спорте; кабан
Беда, несчастье; рассказ В. Шукшина; горе
Беда, несчастье; горе
Беда, несчастье, неприятность; зло
Бедная влагой равнина с травянистой растительностью в зоне сухого климата; степь
Бедная хижина, небольшой и плохой дом; лачуга
Бедный, неказистый домишко, избенка; хибара
Бедренная часть туши; огузок
Бедствие, которое растет по мере своего распространения (по Вергилию); молва
Без веры жизнь – темный ___; лес
Без крыльев летает, без ног бегает, без паруса плывет (загадка); облако
Без него не было бы и гипотенузы; катет
Без него не испечешь пирога; тесто
Без него не обойтись в парилке; веник
Без него нет матери; дитя
Без нее конь – корова, согласно поговорке; осанка
Без нее на свадьбе скучно?; драка
Без нее не сыграть в хоккей на льду; шайба
Без нее невозможно представить Деда Мороза; борода
Без нее разведчик – не разведчик; рация
Без них в боулинг не сыграешь; кегли
Без них забор не стоит; столбы
Без чего не может быть железной дороги? (ед. ч.); рельс
Без чего пиво – не пиво (без ...)?; хмеля
Безалкогольное вино; армази
Безалкогольный напиток конницы Буденного; кумыс
Безбилетный пассажир; заяц
Безбожие; атеизм
Безбрачие; в биологии – отсутствие пола; агамия
Безветрие, затишье на море; пьеса Билль-Белоцерковского; штиль
Безветрие, затишье на море?; штиль
Безвластие всякого управления; анархия
Безвозмездный подарок Совы ослику Иа?; шнурок
Безворсовый ковер; палас
Безвыходное место; тупик
Безвыходное положение; тупик
Безграничная ответственность за все, что живет?; этика
Бездарный поэт, с которым сравнивает себя А. Пушкин; Прадон
Безделушка, подвешенная как украшение к цепочке, браслету, поясу и т. д.; брелок
Бездельник для ловли бабочек; сачок
Бездельник, лентяй, уклоняющийся от работы; сачок
Бездельник, опасный для рыб и бабочек; сачок
Бездельник, попрошайка, опустившийся пьяница (разг.); ханыга
Бездельник, прогульщик; филон
Бездельник, разиня; зевака
Бездна водных мускулов; океан
Бездна, в которую Зевс низверг титанов (греч. миф.); Тартар
Бездна, куда Зевс низвергал титанов; Тартар
Беззаветно влюбленная киногероиня народной артистки России Светланы Немоляевой из фильма “Служебный роман” Э. Рязанова; Рыжова
Беззаконие, не имеющее гpаниц; беспредел
Беззастенчивый, бесцеремонный и дерзкий грубиян; нахал
Безлесая ровная возвышенность; ополье
Безлесная равнина, пространство; поле
Безлесное, бедное влагой и обычно ровное пространство с травянистой растительностью в зоне сухого климата; степь
Безмолвствующий персонаж трагедии А. С. Пушкина “Борис Годунов”; народ
Безмоторный летательный аппарат легче воздуха, воздушный шар; аэростат
Безмоторный летательный аппарат; планер
Безначалие, безвластие, неорганизованность, беспорядок; анархия
Безначалие, безвластие?; анархия
Безнравственность; аморальность
Безобидная жвачка южноамериканских индейцев, превратившаяся в источник смертоносного наркотика; кока
Безобразник; ерник
Безответная любовь желудка; голод
Безразличное отношение к политике; аполитизм
Безразличное, безучастное отношение к окружающему; апатия
Безрассудность, беспринципная рискованность какой-либо деятельности, поступков; авантюризм
Безудержная черта характера, состояние человека; удаль
Безудержная, лихая смелость; удаль
Безукоризненный вид, внешний блеск; лоск
Безумная животная любовь; гон
Бекон; сало
Бел. народный танец; Янка
Бел. писатель; актер театра и кино; борец; велосипедист; Быков
Бел. писатель; Быков
Бел. эстрадный ансамбль; сябры
Белорусский вокально-инструментальный ансамбль; верасы
Беларусь (город); Кобрин
Белая глина высокого качества; каолин
Белая жидкость, выделяемая грудными железами женщин и самок млекопитающих; молоко
Белая кровь; лимфа
Белая кровяная клетка, лишенная зернового запаса; агранулоцит
Белая минеральная краска; белила
Белая плотная бумага для черчения; ватман
Белая птаха, много веков нехотя “поставляющая” перья для плюмажей; цапля
Белая ценная рыба; белуга
Белая (серебристая) ива; ветла
Белая, приток Камы; Агидель
Белая, черная, красная, янтарная, вялая, пластовая, чудская... Кто она?; уха
Белизна с точностью до наоборот?; чернота
Белила; краска
Белка; летяга
Белки группы иммуноглобулинов, образующиеся в организме человека при попадании в него антигенов и нейтрал. их вредное действие; антитела
Белковая часть молекулы фермента; апофермент
Белковое вещество, отлагающееся в печени; у растений – углевод; амилоид
Белковое вещество, отлагающееся в печени; амилоид
Белковое вещество, образующееся при створаживании молока; казеин
Белковое вещество, содержащееся в молоке; казеин
Белогв. адмирал; Колчак
Белогвардейский генерал; Шкуро
Белое вино; мозель
Белое крепкое виноградное вино; херес
Белое кристаллическое вещество, растворимое в воде, употребляющееся как приправа к пище; соль
Белое поле, черное семя, кто его сеет, тот разумеет; книга
Белое тверд. вещ-во для пригот. лаков, ацетатн. волокна; ацетилцеллюлоза
Белое щелочное кристаллическое вещество; сода
Белок в основе наших ногтей?; кератин
Белок группы иммуноглобулинов, нейтрализующ. антигены; антитело
Белок мышечных волокон; миозин
Белок, входящий в состав сократительных элементов мышечной ткани; актин
Белок, образующий с миозином сократительный белок; актин
Белор. композитор; Аладов
Белор. писательница; Алексиевич
Белор. поэт; Александрович
Белорукий гиббон; лар
Белорус. и литовское нац. блюдо; милта
Белорус. и польск. название пышных блинов на дрожжах; пампух
Белорус. композитор-песенник; Ханок
Белорус. нар. танец; бульба
Белорус. писатель; Брыль
Белорус. поэт; боевая машина; танк
Белорус. поэт; Бровка
Белорус. скульптор; Грубе
Белорусская гимнастка, чемпионка Олимпийских игр 1972 и 1976 г.; Корбут
Белорусская оперная певица; Александровская
Белорусский ВИА, популярный в 70–80-е годы; сябры
Белорусский город, в котором находится музей партизана К. Заслонова; Орша
Белорусский живописец (1881–1964); Волков
Белорусский писатель; Мележ
Белорусский поэт; Купала
Белорусский скульптор (1908–68); Глебов
Белорусский танец-пляска; бульба
Белорусский художник; Цвирко
Белорусское блюдо из фасоли, ячневой каши и масла; щупиня
Белорусское блюдо наподобие украинских галушек; галки
Белорусское название рыбы ряпушки; селява
Белорусское название тюри из хлеба, кваса, лука и чеснока; цура
Белорусское полотенце для посуды; скарач
Белорусское приобретение Милана?; Кутузов
Белые мухи; снег
Белый – сверху, “красный” – снизу, между ними – “голубой” – какой символ описан этой секс-шуткой?; флаг
Белый журавль, обитающий в тундре Якутии и низовьев Оби; стерх
Белый заяц?; беляк
Белый мультипликационный медвежонок; умка
Белый налет на сливах, вишне – защита от микроорганизмов; пруин
Белый напиток, которым заваривают шалфей, чтобы приготовить питье от повышенной потливости; вино
Белый плотный керамический материал; фарфор
Белый порошок горького вкуса из коры тропического дерева, употребляемый как лекарство против малярии; хинин
Белый пудель из одноименного рассказа Александра Куприна; арто
Белый стал символом чистоты, желтый – предательства, красный указывал на любовь Бога, зеленый означал моральное падение и отчаяние. А какой цвет стал символом Христа и спасения?; синий
Белый тигр, в др.-китайск. миф. дух-покровитель Запада; байху
Белый хлебец?; рогалик
Белый шар при игре в снукер; биток
Бельг. композитор и музыковед 19 в.; Фетис
Бельг. композитор; Геварт
Бельг. король; Бодуэн
Бельг. мастер, изобретатель муз. инструмента; Сакс
Бельг. скрипач, композитор 19 в.; Берио
Бельг. скрипач, композитор, дирижер; Изаи
Бельг. социалист; Брукер
Бельг. художник и скульптор; Менье
Бельг. художник, маски; Энсор
Бельг. химик-органик, спец. по изучению фторорганических сред; Свартс
Бельгиец, которому удалось вывести закон необратимости эволюции; Долло
Бельгиец, организатор всемирного объединения библиографов; Отле
Бельгийск. архитектор (стиль модерн); Орта
Бельгийская денежная единица в период 1926–1946 гг.; Бельга
Бельгийский архитектор (род. 1876); Авербеке
Бельгийский архитектор 19–20 вв., (?) Уайтхолл в Лондоне; Велде
Бельгийский архитектор (стиль модерн), 19–20 вв., музей Гугенхэйма в Нью-Йорке; Орта
Бельгийский архитектор; Ортар
Бельгийский биохимик. Нобелевская премия (1974, совместно с Дж. Э. Паладе и К. Р. Де Дювом); Клод
Бельгийский иммунолог и бактериолог, разработал метод иммунизации против коклюша; Борде
Бельгийский иммунолог и бактериолог. Нобелевская премия (1919); Борде
Бельгийский мастер духовых инструментов; Сакс
Бельгийский оружейный промышленник и конструктор; Наган
Бельгийский писатель, автор романа “Семья Метсирс”; Клаус
Бельгийский резчик монетных штемпелей и медальер (1796–1864); Брамт
Бельгийский скрипач-виртуоз, композитор; Изаи
Бельгийский ученый, лауреат Нобелевской премии по физиологии и медицине; клод
Бельгийский химик (1813–1891); Стас
Бельгийский химик-технолог и промышленник (пр-во соды); Сольве
Бельгия (город в Европе); Спа
Бельгия, порт (город в Европе); Брюгге
Бельгия, провинция; Эно
Бельевая прищепка по своей сути; зажим
Бельевая хлопчатобумажная ткань; зефир
Бемоль вверх; диез
Бенгальский фикус, чья крона так раскидиста, что в ее тени может разместится деревушка; баньян
Бензин для лошади; овес
Бензоплотницкий инструмент; пила
Бенуа Бофис, серебряный призер Франции среди юниоров, – единственный француз, который занимается этим командным видом спорта. Что же это за вид спорта?; синхронное плавание
Берберский духовой музыкальный инструмент; раита
Берег, удобный для купания и солнечных ванн; пляж
Береговая воинская часть, предназначенная для приема, размещения, обеспечения и обслуживания прибывающего пополнения; экипаж
Береговая опора моста; устой
Береговое сооружение, множеством которых Голландия спасается от наступающего моря; дамба
Береговой ветер (меняющийся); бриз
Береговой уступ; клиф
Береговые крайние опоры моста; устои
Бережливый человек; эконом
Бережливый, хозяйственный человек (устарев.); эконом
Березовая губка, трут; чага
Березовый лес; роща
Береста по своей сути; кора
Берестовый короб; кузов
Берестяная заплечная котомка крестьянина-ходока; трошня
Берестяная посуда в виде ведерка; туес
устар. Берестяной короб с крышкой; бурак
Берестяной; короб
Бери ... , пошли домой (песен.); шинель
Берлинск. скульптор и медальер 18–19 вв., ученик И. Штирле; Яхтман
Берлога; нора
Бернард ... – англ. физиолог; Кац
Бертольд Брехт по национальности; немец
Беседа двух людей; диалог
Беседа между двумя или несколькими людьми; диалог
Беседа с пристрастием; допрос
Беседа?; разговор
Бескилевая птица; казуар
Бесконечная телевизионная “мыльная опера”; сериал
Бесконечный упорядоченный набор чисел; последовательность
Бескорыстный “служитель” Мельпомены?; театрал
Бескрылая муха; браула
Бескрылая птица Новой Зенландии; киви
Беспалубная шлюпка; гиг
Беспилотный летательный аппарат с реактивным двигателем; ракета
Бесплатное приложение к журналу или газете (спец.); премия
Бесплатное сказочное лесное такси; волк
Беспозвоночное животное типа иглокожих; офиура
Беспозвоночное животное; губка
Беспозвоночное морское животное с прозрачным студенистым телом, по краям снабженным щупальцами; медуза
Беспокойное, обременительное дело для нашего правительства оказывать внимание своему народу; забота
Беспокойство, беспокойное, обременительное дело; забота
Беспокоящая соседей часть второго названия домашнего пианино; форте
Бесполезные или вредные для организма продукты обмена веществ (перен.); шлак
Бесполое размножение организма (деление, почкование); агамогония
Бесполое размножение; апомиксис
Беспомощно повисшая конечность; плеть
Беспомощный турецкий вулкан; Арарат
Беспорядок, путаница; ералаш
Беспорядок, шум, суматоха (переносн.); содом
Беспорядочная толпа; орава
Беспорядочная, неорганизованная толпа; орда
Беспорядочное волнение на море; сулой
Беспорядочное и шумное скопление людей; орава
Беспорядочное нагромождение звуков?; какофония
Беспорядочные звуковые колебания; шум
Бесправный спартанец?; илот
Беспредельное количество; уйма
Беспутевочный отдыхающий; дикарь
Беспутный человек, пьяница (устар.); ярыга
Бессильное томление души от отсутствия жизненно главного; скука
Бессловесное “да”; кивок
Бессловесность; немота
Бессменный в течение долгих лет главный режиссер Московского театра сатиры; Плучек
Бессменный правитель Кубы в течение вот уже сорока лет; Кастро
Бессмертный “страшилка” русских сказок; кощей
Бессмыслица, нелепость, нонсенс; абракадабра
Бессоюзие, стилистич. фигура, заключ. в опущении союзов; асиндетон
Бесспорная, не требующая доказательств истина; аксиома
Бессточная впадина в Каракумах; Акчакая
Бессточное мелководное соленое озеро в Танзании; Руква
Бессточное озеро в Казахстане; Балхаш
Бессточное озеро в Центральной Азии; Лобнор
Бессточное соленое озеро на северо-западе Казахстана; Индер
Бестолковый, грубый и неотесанный бездельник; балбес
Бестселлер одного дня; газета
Бестужев-Марлинский считал это мыслью, переходящей в дело. Что же это за психологический термин?; воля
Бесформенность, расплывчатость; аморфность
Бесформенный, расплывчатый, бесхарактерный; аморфный
Бесхвостое земноводное семейство жаб; ага
Бесхвостое земноводное, жерлянка; ука
Бесхвостое земноводное; жаба
Бесцв. жидкость, образующаяся из плазмы крови и обеспечивающая в организме обмен веществ между кровью и тканями; лимфа
Бесцветная горючая жидкость, растворитель; ацетон
Бесцветная горючая жидкость, продукт переработки нефти; бензин
Бесцветная горючая жидкость?; ацетон
Бесцветная жидкость в организме человека; лимфа
Бесцветная жидкость в теле человека и позвоночных животных, образующаяся из плазмы и заполняющая межклеточное пространства; лимфа
Бесцветная жидкость, применяемая в производстве красителей, фармацевтических препаратов, взрывчатых веществ; анилин
Бесцветная жидкость, применяется как растворитель и для синтеза многих органических веществ; ацетон
Бесцветная жидкость, выделяемая в полости рта человека и животных; слюна
Бесцветная летучая жидкость с характерным резким запахом; эфир
Бесцветный водянопрозрачный опал; гиалит
Бесцветный газ с едким запахом; аммиак
Бесцветный газ с острым запахом, применяется в химическом синтезе; циан
Бесцветный газ с резким запахом, используемый для обеззараживания воды и воздуха; озон
Бесцветный газ с резким запахом, образующийся при гниении органических веществ; аммиак
Бесцветный газ с резким неприятным запахом; аммиак
Бесцветный газ, применяемый при сварке металлов; ацетилен
Бесцветный газ; метан
Бесцветный рутил, используемый для имитации алмаза; астрил
Бесцветный ядовитый газ с запахом горького миндаля, соединение углерода с азотом; циан
Бесчестье, постыдное, унизительное положение; позор
Бесчувственный объект поклонения; идол
Бесщитковое рыбообразное ископаемое позвоночное; анаспид
Бета Персея; Алголь
Бетонная или металлич. открытая снизу камера для работ под водой или в водонасыщенном грунте; кессон
Бетонное укрепление, укрытие; дот
Бетонный защитник секретных объектов; забор
Бетонный или деревянный брус, поперечная опора для рельсов; шпала
Бешеная, попавшая в “Капкан для Бешеной”; Дарья
Биoгpaф Бaйpoнa; Полидори
Биoлoг, пpизнaющий нaличиe в живoм opгaнизмe дyши; виталист
Биoлoгич. кaтaлизaтop; фермент
Биoлoгичecкoe coжитeльcтвo; симбиоз
Биpж. тopгoвeц, однoвpeм. пoкyпaющий и пpoдaющ. кoнтpaкты; спредер
Биpжeвaя cдeлкa пo фикcиpyeмoй пpи зaключeнии цeнe c иcпoлнeниeм (нaпp., пocтaвкoй тoвapa, вaлюты) чepeз oгoвopeннoe вpeмя; фьючерс
Биpжeвoй пocpeдник; джоббер
Библ. пoлкoвoдeц, пoтepявший гoлoвy oт Юдифи; Олоферн
Библeйcкий Caмcoн для кpacaвицы Дaлилы; любовник
Библeйcкий гopoд в Пaлecтинe; Иерихон
Библeйcкий дeмoн; асмодей
Библeйcкий пepcoнaж; Валтасар
Библeйcкий цapь Coлoмoн; Сулейман
Библейская гуманитарная помощь; манна
Библейская земля; Ханаан
Библейская книга из “Нового завета”; апокалипсис
Библейская пророчица и судья; Дебора
Библейская смола; смирна
Библейский Ваня; Иоанн
Библейский Иосиф у мусульман; Юсуф
Библейский брат Исава; Иаков
Библейский великан-филистимлянин, побежденный Давидом; Голиаф
Библейский волхв, так лупивший свою ослицу, что она, в конце концов, заговорила; Валаам
Библейский выродок; ирод
Библейский герой, “связанный” с романом “К востоку от рая” американского писателя Джона Стейнбека; Каин
Библейский город, символ распутства; Содом
Библейский ковчегостроитель; Ной
Библейский персонаж из царей Израилевых; Давид
Библейский персонаж, вся сила которого была в волосах; Самсон
Библейский персонаж, грешник; Онан
Библейский персонаж, один из патриархов, сын Исаака; Иаков
Библейский персонаж, от которого пошли все евреи; Иаков
Библейский персонаж, покровитель и муж Руфи; Вооз
Библейский персонаж; англ. архитектор; Адам
Библейский персонаж; Адам
Библейский праведник, чья жена превратилась в соляной столп; Лот
Библейский праведник; Иов
Библейский рассадник разврата, уничтоженный “огненным дождем”; Содом
Библейский рассказ о грядущем “страшном суде”; апокалипсис
Библейский родоначальник евреев; Авраам
Библейский садовник; Адам
Библейский сын Авраама и Сарры, отец Исава и Иакова; Исаак
Библейский термин; рай
Библейское название темной силы; олицетворение нечестия и беззакония; велиар
Библиoтeчнaя yчeтнaя кapтoчкa; формуляр
Библиoтeчнaя кapтoчкa читaтeля; формуляр
Бивак; бивуак
Бидонвили во франкоязычной Африке, равеи в Бразилии, геджиконду в Турции. А как такие городские районы называют русские?; трущобы
Кормовая мачта на парусных судах с 3 и более мачтами, парус на ней; бизань
Бизнесмен, предприниматель; драма Бальзака; делец
Бизнесмен, предприниматель; делец
Бикфордов; шнур
Библейск. пророк Илия в исламе; Ильяс
Билет на языке российских школьников; ксива
Билетное место; касса
Биллиардная игра цветными шарами; снукер
Билонная монета, чеканивш. в рейнско-вестфальск. обл. в 15–19 вв.; штюбер
Бильярдн. шар, загораживающий цель; мазка
Бильярдная иностранка; американка
