Негодная вещь, вещи; шваль
Один из офиц. языков ЮАР; африкаанс
Один из панов в популярной в прошлом телепередаче “Кабачок 13 стульев”; Зюзя
Один из парных плоских передних зубов; резец
Один из пары генов, определяющих развитие признаков; аллель
Один из первооткрывателей америция; сиборг
Один из первооткрывателей аргона; Рамзай
Один из первооткрывателей астата; Корсон
Один из первооткрывателей гелия; Жансен
Один из первых аппаратов для анестезии (1847) (фамилия изобретателя); Летеон
Один из первых вокально-инстр. ансамблей страны; ореро
Один из первых и самый отвратительный жених Дюймовочки; жаба
Один из первых массовых персональных компьютеров; рет
Один из первых наркомов путей сообщения РСФСР; Красин
Один из первых образцов ручного огнестрельного оружия, применявшихся арабами в XII–XIII в.; модфа
Один из первых пропагандистов марксизма в Дании; Пио
Один из первых самолетов братьев Райт; флайер
Один из первых советских вертолетов, разработанный в 1946 году под руководством И. П. Братухина; омега
Один из первых советских тракторов, построенный на Коломенском машиностроительном заводе в 1922 году; могул
Один из персонажей итальянской комедии; арлекин
Один из персонажей картины Рафаэля “Сикстинская мадонна”; Сикст
Один из полюсов электрода; анод
Один из популярных святых в дальневосточном буддизме; милэ
Один из порогов на “пути из варяг в греки”; Аифор
Один из посвященных русским орденам залов Большого Кремлевского дворца; Александровский
Один из последователей религии, проповедуемой в индийском штате Пенджаб; сикх
Один из праведников в библ. мифологии; I-й рус. патриарх; Иов
Один из правителей древнего Магадхи; Ашока
Один из праздников иудаизма; пурим
Один из президентов Российской Академии Hаук все свои поэтические сборники издавал под инициалами К. Р. Hазовите его фамилию; Романов
Один из приемов пищи в течение дня; обед
Один из приемов ручного вязания; накид
Один из приемов черной магии; сглаз
Один из прославленных мастеров, создавших храм Василия Блаженного в Москве в 1555–1560 гг.; Постник
Один из простейших видов черной магии; сглаз
Один из псевдонимов А. Чехова; некто
Один из псевдонимов Проспера Мериме; Газуль
Один из пузырей мыльной оперы; серия
Один из пяти видов правильных многогранников?; куб
Один из ранних симптомов заболевания; боль
Один из ранних языков программирования; кобол
Один из римских аграрн. богов; конс
Один из родителей Шилки; Онон
Один из руков. борьбы за сов. власть в Белоруссии; Алибегов
Один из руков. деятелей КПСС; Сталин
Один из руководит. польского восстания 1863 г.; Авейде
Один из руководителей борьбы за гражданские права негров в США, Нобелевская премия Мира (1964). Убит расистами; Кинг
Один из руководителей борьбы за советскую власть на Дальнем Востоке; Лазо
Один из руководителей латышских революционеров, расстрелянный белыми в 1919 году; Озол
Один из руководителей партизанского движения в Великую Отечественную войну, генерал-майор (1943), Герой Советского Союза (1944, посмертно); Руднев
Один из руководителей тред-юнионов. Нобелевская премия мира (1903); Кример
Один из рядов расположенных друг над другом предметов; ярус
Один из рядов чего-либо, расположенных друг над другом (напр., лож в театре); ярус
Один из самых главных организаторов контрреволюции в гражданскую войну?; Колчак
Один из самых древних столовых приборов; ложка
Один из самых знаменитых людей в мире носил свои искусственные зубы в складках своей набедренной повязки. А кто он?; Ганди
Один из самых известных в мире аукционов; Сотби
Один из самых известных во Франции аэропортов; Орли
Один из самых известных полководцев гражданской войны; Щорс
Один из самых крупных притоков реки Москвы; Сетунь
Один из самых крупных провайдеров Internet в России; демос
Один из самых поэтических женских образов у Ф. Купера; Юдифь
Один из самых распространенных породообразующих минералов; кварц
Один из семи металлов, которые персы носили от сглаза; олово
Один из семи римских холмов; Авентин
Один из семи холмов, на которых возник др. Рим; Целий
Один из сильнейших шахматистов Дании; Новруп
Один из сильнейших шахматистов Испании; Ривас
Один из создателей модели аэроплана с паровым двигателем; Хенсон
Один из создателей мультфильмов в СССР; Атаманов
Один из создателей первого российского автомобиля; Фрезе
Один из соперников сборной России на ЕВРО ’96; Италия
Один из сподвижников Воланда; фагот
Один из способов боевой разведки при боевых действиях в непосредственном соприкосновении с противником?; поиск
Один из способов выживания для русского человека; лень
Один из способов государственного изымания денег у населения; налог
Один из способов изображения пространственных фигур на плоскости; аксонометрия
Один из способов обмана государством своего населения; заем
Один из способов украшения мелодии; трель
Один из спутников Одиссея; Полит
Один из средних или верхних этажей в зрительном зале; ярус
Один из старейших центров добычи ртути; Идрия
Один из стержней, соединяющих ступицу колеса с ободом; спица
Один из сыновей Ноя, осмеявший выпившего и уснувшего голым отца, был проклят, а его детям суждено рабство (библ. миф.); Хам
Один из сыновей киевского князя Владимира Святославича, причисленный к лику святых; Борис
Один из творцов общей астрономии?; Кеплер
Один из тех, которые “везти с поклажей воз взялись”; рак
Один из тех, кто “подковы гнет, как калачи” в песне “Арлекино” А. Пугачевой; силач
Один из титулов монарха?; король
Один из тончайших отростков-волокон, образующий разветвляющуюся систему, которая связывает мозг с другими органами и тканями тела; нерв
Один из тренеров Блохина; Коман
Один из трех верховных богов в брахманизме и индуизме; Брахма
Один из трех высших богов в индуизме; Брахма
Один из трех главных индуистских богов, бог-охранитель. Кришну и Рама – его аватары (воплощения); Вишну
Один из трех родов художественной литературы; эпос
Один из трех сыновей Ноя; Иафет
Один из трех сыновей легендарного Ноя; Яфет
Один из трех центров Др. Руси 9–10 вв.; Славия
Один из троих однофамилец автора музыки песен из многих кинофильмов. Фамилия другого из них – псевдоним автора текстов ко многим песням из кинофильмов. Назовите третьего из них; Харламов
Один из участков сооружения, машины; секция
Один из участников 1-го триумвирата в Др. Риме; Помпей
Один из франц. департаментов назвали ... и Гаронна; Тарн
Один из химических элементов, делающих наш суп соленым; хлор
Один из хитов В. Меладзе; актриса
Один из хитов группы “Амега”; ноги
Один из храбрейших греческих героев, осаждавших Трою; Ахилл
Один из центров древней Руси; Артания
Один из чемпионов мира по шахматам; Эйве
Один из четырех на Земле; океан
Один из четырех элементов, редкоземельный металл; тербий
Один из шести земных материков; Африка
Один из элементов гения, но когда он преобладает, то становится его суррогатом (по И. В. Гёте)?; юмор
Один из этапов крестьянской свадьбы, означавший согласие родственников жениха и невесты на свадьбу; сговор
Один из языков Азии; иврит
Один из языков Афганистана, Ирана; дари
Один из языков Афганистана; пушту
Один из языков Индии; хинди
Один из языков Хиндустани; урду
Один из языков программирования?; фортран
Один их жителей Бейкер-стрит (литературное)?; Холмс
Один круг игры в скат; рунда
Один оборот по орбите; виток
Один оборот спирали; виток
Один оборот, один взмах; в спорте – движение ногой, рукой или корпусом; мах
Один оборот, один взмах; мах
Один отставной английский военный был управляющим имением в Ирландии и жестоко обращался с арендаторами. В знак протеста они прекратили с ним всякие отношения. Назовите его фамилию; Бойкотт
Один по-итальянски; уно
Один поэт услышал от своего соседа печальную историю о дочери мельника, обманутой одним из дедов близких знакомых поэта (Вульфы). В чьем изложении можно прочитать эту историю сейчас?; Пушкин
Один римский император отличался экстравагантностью и сумасбродством. Даже умирая, он сказал: “Какой великий артист умирает” Кто это?; Нерон
Один советский поэт предлагал весьма необычный материал для их изготовления. Однако даже он удивился бы, узнав, что наилучшей формой их сечения является пятиконечная звезда. А что это такое?; гвозди
Один улей – улей, два улья –; пасека
Один французский психолог считает, что одна минута этого занятия равноценна 45 минутам медитации или любого другого способа отдыха. Что это за занятие?; смех
Одинаковая по покрою, цвету одежда; форма
Один из будд; Акшобхья
Одиннадцатый чемпион мира по шахматам; Фишер
Одинокий бессемейный человек; бобыль
Одинокий медведь; шатун
Одинокое пение; соло
Одиночная возвышенность на берегу реки; шихан
Одиночный коралл. полип (жив. в симбиозе с раком-отшельн); адамсия
Одиночный радиолокационный объект, вынесенный далеко за пределы подразделения; точка
Одичавший кролик; заяц
Одна душа в двух телах (по Аристотелю); друг
Одна из “Записок охотника” Тургенева; смерть
Одна из “мер пресечения”, как выражаются прокуроры; арест
Одна из 9 муз, покровительница любовной поэзии (греч. миф); Эрато
Одна из Сахарных стран; Алжир
Одна из Харит, постоянная спутница Гермеса, Афродиты и Диониса; Аглая
Одна из богинь аккадской мифологии; иштар
Одна из богинь в скифской мифологии; аргимпаса
Одна из богинь мщения, изображавшаяся как старуха со змеями вместо волос (греч. миф.); Мегера
Одна из величин измерения длины?; локоть
Одна из входящих в РНК “букв” генетического кода; урацил
Одна из героинь телесериала “Санта-Барбара”; Иден
Одна из групп народов в Африке; акан
Одна из двух ежемесячных выплат; аванс
Одна из двух нижних частей разрезной спинки на сюртуке, фраке, мундире; фалда
Одна из двух поверхностей переплета; корка
Одна из двух подвижных кожно-мышечных складок, образующих края рта; губа
Одна из двух точек на большой полуоси эллипса; фокус
Одна из двух точек пересечения Земной оси с поверхностью, а также прилежащая к этой точке местность; полюс
Одна из двух, исключающих друг друга возможностей; альтернатива
Одна из декартовых координат точки в трехмерном пространстве; аппликата
Одна из дочерей Мудрости; Вера
Одна из дочерей короля Лира; Регана
Одна из древнейших улиц Москвы, получившая свое название в XV в.; Арбат
Одна из древнейших форм книги; свиток
Одна из древних кит. игр; мацзян
Одна из древних столиц Японии; Киото
Одна из заключительных операций отделки материалов (ткани, трикотажа); аппретирование
Одна из категорий в систематике животных и растений; класс
Одна из книг Библии?; числа
Одна из книг Библии; бытие
Одна из комбинаций в волейболе; крест
Одна из комнатных туфлей; тапка
Одна из конечностей человека; рука
Одна из координат, определяющая положение точки на поверхности Земли; широта
Одна из костей скелета; пересечение двух граней тела; ребро
Одна из костей скелета; ребро
Одна из крупнейших битв Великой Отечественной войны?; Курская
Одна из крупнейших малых планет, астероид; Веста
Одна из крупнейших малых планет; Юнона
Одна из крупнейших рек Азии, впадает в Аравийское море; Инд
Одна из крупнейших рек Эквадора; Напо
Одна из крупнейших финансовых групп США; Морган
Одна из крупных телеролей В. Соломина; Ватсон
Одна из лучших книг Константина Паустовского названа “Золотая ...”; роза
Одна из малых планет, по временам приближающаяся к Земле на расстояние в 22.5 млн. км; Эрос
Одна из малых планет; Амур
Одна из мифологических рек подземного царства; Стикс
Одна из многих, которые сгущает пессимист; краска
Одна из монархических регалий; корона
Одна из наиболее распространенных религий; ислам
Одна из национальностей в России; чуваш
Одна из национальностей в Средней Азии; киргиз
Одна из национальностей на Балканах; хорват
Одна из наших популярных поп-групп названа “Белый ...”; орел
Одна из нескольких мелодий в музыкальной пьесе, партия в вокальном ансамбле; голос
Одна из нот музыкальной гаммы; соль
Одна из оболочек зародышей высших позвоночных животных и человека; амнион
Одна из организаторов движения за социальные права граждан США. Нобелевская премия мира (1931, совместно с Н. М. Батлером); Аддамс
Одна из основных величин механики; масса
Одна из основных категорий эстетики?; прекрасное
Одна из основных музыкальных форм многоголосного стиля; фуга
Одна из основных областей естествознания; физика
Одна из основных поз классического танца, при которой равновесие сохраняется на одной ноге, а другая поднята и отведена назад в согнутом положении; аттитюд
Одна из основных поз классического танца, при которой равновесие сохраняется на одной ноге, а другая, выпрямленная, поднята и отведена назад; арабеск
Одна из основных физических характеристик материи, определяющая ее инертные и гравитационные свойства; масса
Одна из основных частей автомобиля; шасси
Одна из относительно самостоятельных частей большого фильма; серия
Одна из первых газет коммунистов; искра
Одна из площадей в центре Москвы, которую описал Л. Толстой в повести “Отрочество”; Арбатская
Одна из прибалтийских валют; лат
Одна из примет старости; седина
Одна из причин непроходимости кишечника; спазм
Одна из причудниц большого света, “толковательница” Сея и Бентама (Онегин); дама
Одна из птиц, которые “все парами, как с волной волна” в песне; утка
Одна из пяти, сделавшая популярной Л. Гурченко; минута
Одна из рек, у слияния которых расположился город Хайдарабад в Индии; Уси
Одна из ролей В. Высоцкого; Жеглов
Одна из самых длинных на Земле горных систем; анды
Одна из самых красивых фотомоделей мира; Шиффер
Одна из самых ярких звезд северного полушария в созвездии Лира; Вега
Одна из составляющих знаменитых формул К. Маркса; товар
Одна из составных частей птичьего яйца; желток
Одна из специализаций юриста; адвокат
Одна из стихий; огонь
Одна из столиц Древнего Египта; город в Греции; Фивы
Одна из столиц Древнего Египта; Фивы
Одна из сторон бухг. баланса; страдательный залог; пассив
Одна из сторон бухг. баланса; пассив
Одна из сторон в прямоугольном треугольнике; катет
Одна из стран – участниц войны за испанское наследство?; Голландия
Одна из структурных составляющих стали и чугуна; аустенит
Одна из схваток боя в боксе; раунд
Одна из техник стенных росписей; фреска
Одна из точек горизонта?; запад
Одна из трех древнегреческих граций?; Аглая
Одна из трех мировых религий; ислам
Одна из трех чеховских сестер; Ирина
Одна из тригонометрических функций; арксеканс
Одна из фаз Луны?; новолуние
Одна из фаз непрямого деления клетки; анафаза
Одна из форм безналичных расчетов; акцепт
Одна из форм вины (противопоставляемая неосторожности): подготовка преступления с осознанием его общественно опасных последствий; умысел
Одна из форм государственной власти в Древней Греции, господство знати; аристократия
Одна из форм деятельности государственных органов; надзор
Одна из форм капиталистических монополий; трест
Одна из форм литературной деятельности?; журналистика
Одна из форм монополистического объединения предприятий с централизацией производственных и коммерческих операций; трест
Одна из форм национальной нетерпимости?; антисемитизм
Одна из форм общественного сознания; наука
Одна из форм советской автономии; округ
Одна из форм существования зеленого змия; вино
Одна из форм существования материи, четвертое измерение; время
Одна из форм существования материи?; жизнь
Одна из форм умозаключения от общего к частному и единичному?; дедукция
Одна из форм феодальной эксплуатации; кабала
Одна из центральных улиц Токио; гинза
Одна из четырех сторон света, противоположная востоку; запад
Одна карта в масти в преферансе; бланка
Одна партия во встрече теннисистов; сет
Одна партия во встречи теннисистов; сет
Одна постановка невода (рыбацк.)?; тоня
Одна сторона туловища; бок
Одна тысячная часть числа?; промилле
Одна часть большого кинофильма; серия
Одна четвертая карточной колоды; масть
Однажды Татьяна посетила дом Онегина. Она увидела: “На смятом ... лежал манежный хлыстик”; канапе
Однажды бестолковые студентки так достали Энрико Ферми, что в письме к своему другу он предложил поместить их мозги в конец некоего законченного списка. А что должно им там предшествовать?; алмаз
Однажды в США было объявлено, что билет на данный киносеанс является одновременно и страховкой на 1000 долларов. Фильм какого жанра демонстрировался в кинотеатре?; фильм ужасов
Однажды в г. Ницце был проведен конкурс на самого выносливого курильщика. Один из участников установил рекорд, выкурив целых 60 сигарет подряд. Однако приза он не получил. Почему?; умер
Однажды великий Нострадамус сказал прохожему, что тот окончит жизнь между небом и землей. Каким образом этот прохожий окончил свою жизнь?; на виселице
Однажды на итальянско-швейцарской границе таможенники нашли у Игоря Стравинского схему оборонительной линии на севере Италии. Однако, это был портрет Стравинского. Чьей работы?; Пикассо
Однажды немецкий врач Вирхов на экзамене ткнул студента пальцем в грудь и спросил: – Скажите, куда я попаду, если вскрою грудную клетку в этом месте? Что ответил студент?; в тюрьму
Однажды регулировщик остановил машину, за рулем которой сидела молодая женщина: – Я, наверно, слишком быстро еду – спросила она. – Нет, мадам, вы слишком низко... Продолжите; летите
Однажды русские эмигранты во Франции попросили Карамзина в двух словах охарактеризовать, что происходит в России. Карамзину хватило и одного слова. Какого?; воруют
Одни из лучших защитных экранов для мониторов делает фирма? (ответ англ. буквами); Polaroid
Одно время иностранные путешественники считали, что в Грузии два бога – Иисус Христос и... Кого считали вторым богом?; Руставели
Одно действие в футбольном матче; тайм
Одно из 30 слов лексикона Эллочки Людоедки; мрак
Одно из Великих озер Северной Америки; эри
Одно из божеств в иранской мифологии; армайти
Одно из божеств японской буддийской мифологии; амида
Одно из важнейших государственных учреждений?; почта
Одно из веских доказательств непричастности к преступлению; алиби
Одно из внешних чувств человека и животного; слух
Одно из внешних чувств человека и животных; вкус
Одно из внешних чувств человека, животного; зрение
Одно из воплощений верховн. бога славян Сварога; зл. дух; див
Одно из воплощений верховн. бога славян Сварога; див
Одно из времен года, характеризующееся какими-нибудь климатическими признаками; сезон
Одно из высших духовных званий; архиепископ
Одно из главных божеств шумеро-аккадского пантеона; энки
Одно из главных отверстий в палубе, служащее для погрузки внутрь судна различных грузов; ахтерлюк
Одно из двух имен американской внутриконтинентальной станции в районе Южного полюса; Скотт
Одно из двух основных направлений в исламе; шиизм
Одно из древнейших блюд кавказской кухни, имевшее ритуальное значение, связанное с языческой традицией; хаш
Одно из древнейших названий русских европейцами; ерос
Одно из имен Бога в иудаизме; Яхве
Одно из имен Бога; Адонай
Одно из имен Всевышнего; Адонаи
Одно из имен Гермеса; Гермий
Одно из имен писателя Джерома; Клапка
Одно из колец, составляющих цепь; звено
Одно из красивейших созвездий; Орион
Одно из крупнейших казино в Москве; ройял
Одно из лицейских прозвищ Пушкина; егоза
Одно из мест, куда человек ежедневно вынужден ходить; работа
Одно из названий Кореи, дословный перевод которого – Страна утренней свежести; Чосон
Одно из названий белки; векша
Одно из названий божества солнца в армянской мифологии; арэг
Одно из названий нарцев – древнейших предков славян; норики
Одно из названий пахты после сбивания сливок; аргян
Одно из названий самогонки; сивуха
Одно из наименований конца света; апокалипсис
Одно из направлений реформации?; кальвинизм
Одно из направлений стрелки компаса; норд
Одно из нескольких изложений или объяснений какого-либо факта, события; версия
Одно из обозначений бога в ветхозаветной мифологии; элохим
Одно из основных 4 древнегреческих племен?; дорийцы
Одно из основных геометрических понятий?; линия
Одно из основных математических понятий, подвергавшееся с развитием математики ряду изменений?; величина
Одно из основных понятий геометрии; прямая
Одно из основных понятий древнегреческой философии; нус
Одно из основных понятий китайской философии; дао
Одно из основных понятий математики, зародившееся в глубокой древности; число
Одно из основных понятий надежности; несогласие; отказ
Одно из основных понятий надежности; отказ
Одно из основных свойств живых организмов?; размножение
Одно из основных свойств нервной системы, которое иногда теряют; память
Одно из основных свойств нервной системы; память
Одно из основных чувств человека, животного; зрение
Одно из отличающихся толкований, объяснений, предположений; версия
Одно из ошибочных действий (по З. Фрейду); описка
Одно из первых феодальных княжеств на месте современной Латвии; талава
Одно из подлинных имен русского архитектора Августа Монферрана; рикар
Одно из полей для записи счета при игре в преферанс; гора
Одно из популярн. божеств в японск. будд. мифологии; каннон
Одно из последствий “перебора”?; рвота
Одно из прежних названий гор. Тарту; Дерпт
Одно из прозвищ богов подземного мира – Гермеса – Психопомпа, Аида (Плутона), провожавшего души в Тартар; Хтоний
Одно из русских названий баловника, повесы; углан
Одно из русских названий завертки, рычага; затяг
Одно из русских названий прародителя; щур
Одно из русских народных названий девясила; уман
Одно из свойств предмета; цвет
Одно из состояний вещества; специально незасеянное поле; пар
Одно из состояний вещества; пар
Одно из состояний жидкости; пар
Одно из списка драгоценностей мадам Петуховой, “которое было по плечу только знаменитой опереточной примадонне” (Ильф и Петров); колье
Одно из средств массовой информации; радио
Одно из старых русских поселений?; Кижи
Одно из творений Гомера; илиада
Одно из трех верховных божеств в шумерской мифологии; энки
Одно из трех основных зоогеографических подразделений суши, охватывающее Южную и Центральную Америку; неогея
Одно из трех основных зоогеографических подразделений суши; арктогея
Одно из упражнений тяжелой атлетики; рывок
Одно из условий продажи товара; фоб
Одно из центральных понятий древнегреческой философии – дух, разум, мысль; нус
Одно из центральных понятий индийской философии и религии индуизма; атман
Одновалентн. остаток ароматич. углеводородов; арил
Одновременное звучание всех инструментов оркестра; тутти
Одновременное звучание двух или нескольких звуков одной и той же высоты, а также одинаковых звуков в различных октавах; унисон
Одновременное звучание нескольких нот; аккорд
Одновременное и одинаковое уменьшение номинала денег?; деноминация
Одновременный выстрел из нескольких огнестрельных орудий; залп
Одноглазое зло; лихо
Одного из героев былин, гусляра и певца, жизнь которого была по преданиям связана с древним Новгородом, звали Садко. А как было его полное имя?; Садок
Однодворное или многодворное поселение; хутор
Однодворовое поселение в Сибири; заимка
Однозарядная винтовка на вооружении российской армии в 1868–91?; берданка
Однозвучие, образованное двумя или более голосами; унисон
Одной из величайших заслуг афинского тирана Писистрата перед человечеством было назначение и финансирование некоей редакционной комиссии. Назовите два результата ее работы; Илиада и Одиссея
Однокон. безрессорн. повозка; телега
Одноконный экипаж в Англии прошлого века; кеб
Однократное действие; один (о количестве, при подсчете); раз
Однократное действие; раз
Однолетнее бобовое травянистое растение, идущее на корм скоту; вика
Однолетнее зонтичное растение; анис
Однолетнее масличное растение теплых стран; кунжут
Однолетнее огородное овощное растение; салат
Однолетнее огородное травянистое растение с узкими съедобными листьями; шпинат
Однолетнее огородное травянистое растение семейства зонтичных; укроп
Однолетнее огородное травянистое растение, приправа к пище; укроп
Однолетнее растение семейства тыквенных; дыня
Однолетнее садовое растение; летник
Однолетнее сорное растение семейства злаков; овсюг
Однолетнее травянистое растение рода сорго, другое название которого – майло; дурра
Однолетнее травянистое растение с овальными семенами, заключенными в стручки; боб
Однолетнее травянистое растение семейства бобовых, идущее на корм скоту; вика
Однолетнее травянистое растение семейства зонтичных, употребляющееся как приправа к пище, в солениях; укроп
Однолетнее травянистое растение семейства крестоцветных, родственное капусте; рапс
Однолетнее травянистое растение семейства мальвовых, лубяное волокно которого употребляется для изготовления текстильного сырья; кенаф
Однолетнее травянистое растение; амарант
Однолетний цветок для оформления бордюров; алиссум
Однолетняя кормовая культура; чина
Однолетняя трава сем. тыквенных; люффа
Однолетняя трава, приправа; кинза
Одномачтовая рабочая или учебная корабельная шлюпка, короткая и широкая, имеющая от одной до нескольких пар весел; ял
Одномачтовое парусное вооружение и стаксель, а так же несущая его яхта; шлюп
Одномачтовое парусное судно; куттер
Одномачтовое судно с одним парусом; кэт
Одномачтовое судно, несущее более 2-х косых парусов, включая грот; тендер
Одномачтовое торговое судно в Нидерландах 18–19 в.; кааг
